,MarianMT,Unicamp_T5,NLLB_1.3b
0,85,70,90
1,85,90,95
2,70,80,90
3,80,70,85
4,85,70,90
5,85,90,95
6,85,70,95
7,85,70,90
8,85,70,90
9,60,75,20
10,85,70,90
11,85,70,90
12,70,85,90
13,75,60,90
14,70,40,80
15,85,70,60
16,80,60,90
17,90,80,95
18,80,85,90
19,85,65,90
20,90,85,90
21,60,70,80
22,85,75,90
23,75,90,80
24,90,85,95
25,75,80,70
26,85,70,90
27,85,70,90
28,85,60,90
29,85,70,90
30,70,60,80
31,75,70,80
32,85,75,90
33,70,65,80
34,60,75,85
35,85,80,90
36,60,40,50
37,85,90,95
38,75,80,85
39,50,30,70
40,85,90,95
41,85,80,90
42,75,60,85
43,70,60,80
44,75,85,90
45,78,72,88
46,85,70,90
47,70,65,80
48,90,75,95
49,90,75,85
50,85,70,90
51,70,60,80
52,85,70,90
53,70,60,80
54,90,75,85
55,70,50,80
56,85,90,80
57,85,90,95
58,85,75,90
59,86,78,92
60,90,30,85
61,90,80,95
62,70,50,80
63,75,80,85
64,80,60,90
65,85,60,95
66,85,80,90
67,60,75,85
68,85,70,90
69,60,40,50
70,75,60,80
71,85,70,90
72,70,60,80
73,85,75,60
74,85,60,90
75,75,80,85
76,65,40,80
77,80,60,75
78,85,60,95
79,70,40,80
80,60,75,40
81,85,70,90
82,85,75,90
83,70,85,80
84,85,60,80
85,60,70,75
86,85,60,90
87,85,70,90
88,70,60,80
89,85,60,92
90,75,50,65
91,70,60,50
92,85,70,80
93,85,70,90
94,60,40,70
95,85,90,80
96,80,70,90
97,90,85,95
98,75,40,85
99,75,80,90
100,85,70,90
101,60,40,75
102,75,60,85
103,75,60,80
104,85,70,90
105,85,70,90
106,80,70,90
107,85,90,88
108,70,80,90
109,85,90,95
110,75,80,70
111,85,75,90
112,85,75,90
113,75,60,85
114,85,70,90
115,80,70,85
116,90,80,90
117,80,60,90
118,85,70,90
119,75,60,85
120,90,80,85
121,75,60,80
122,70,40,90
123,70,50,85
124,85,75,90
125,85,70,80
126,70,60,80
127,85,70,90
128,70,50,75
129,85,90,80
130,70,60,80
131,80,60,85
132,70,60,80
133,90,80,95
134,85,70,90
135,85,75,90
136,90,70,95
137,70,55,80
138,85,72,90
139,70,40,80
140,75,60,85
141,70,40,80
142,70,80,60
143,85,70,90
144,85,70,90
145,70,60,80
146,70,50,80
147,92,89,95
148,75,80,90
149,85,90,95
150,85,70,90
151,80,60,85
152,85,70,90
153,85,70,90
154,70,50,75
155,60,40,70
156,85,70,90
157,70,60,80
158,85,70,90
159,90,80,95
160,85,90,95
161,65,50,75
162,85,70,90
163,65,40,75
164,75,60,85
165,75,85,90
166,90,70,85
167,85,60,90
168,85,60,90
169,85,40,90
170,90,70,80
171,60,40,70
172,75,80,70
173,70,40,80
174,75,80,60
175,70,65,55
176,75,40,85
177,85,80,90
178,85,70,90
179,75,10,85
180,70,20,85
181,90,60,85
182,85,70,90
183,85,70,90
184,75,60,85
185,80,65,85
186,85,70,90
187,75,60,80
188,90,75,85
189,95,70,90
190,70,40,90
191,75,60,90
192,85,80,90
193,85,70,90
194,85,70,90
195,85,70,90
196,85,75,90
197,85,70,90
198,70,60,80
199,65,80,70
200,90,85,95
201,70,50,80
202,70,60,80
203,75,60,80
204,85,70,90
205,70,40,80
206,85,75,90
207,75,40,90
208,90,85,92
209,75,80,90
210,75,65,40
211,85,60,90
212,70,60,80
213,70,50,80
214,85,70,90
215,70,80,90
216,85,90,92
217,50,20,75
218,85,70,90
219,65,70,40
220,80,70,90
221,75,60,85
222,60,70,45
223,70,50,80
224,75,80,60
225,85,75,90
226,90,95,80
227,85,75,90
228,90,70,95
229,65,50,80
230,65,70,75
231,85,70,90
232,85,70,90
233,85,90,80
234,85,80,70
235,70,85,60
236,85,70,90
237,85,50,90
238,85,70,90
239,75,60,80
240,90,85,100
241,65,40,75
242,85,70,90
243,90,70,95
244,85,70,90
245,85,70,90
246,75,60,85
247,85,70,90
248,80,60,90
249,80,90,85
250,85,70,90
251,65,75,50
252,60,45,80
253,70,50,80
254,85,70,90
255,85,70,90
256,85,70,90
257,84,79,76
258,85,75,90
259,70,60,80
260,70,60,80
261,70,60,90
262,70,40,80
263,85,90,80
264,65,40,55
265,75,50,80
266,80,60,90
267,85,80,90
268,85,70,90
269,85,70,90
270,70,60,80
271,75,60,85
272,75,65,80
273,80,75,85
274,95,90,100
275,80,60,90
276,85,70,75
277,65,40,80
278,85,70,90
279,75,60,85
280,85,70,90
281,90,75,95
282,85,70,90
283,75,70,80
284,85,60,90
285,75,80,85
286,65,40,80
287,75,60,85
288,75,60,85
289,85,70,90
290,85,75,90
291,75,65,85
292,75,90,80
293,80,70,75
294,85,90,80
295,60,20,75
296,70,60,80
297,70,40,80
298,50,40,70
299,70,20,60
300,70,80,60
301,65,40,75
302,70,50,75
303,60,40,80
304,85,70,90
305,85,90,75
306,75,60,80
307,70,30,90
308,60,40,80
309,85,90,80
310,85,70,90
311,80,60,90
312,85,70,90
313,75,70,85
314,85,90,95
315,85,80,90
316,85,70,90
317,85,80,90
318,75,60,85
319,70,85,80
320,85,70,95
321,85,50,90
322,75,60,85
323,85,90,75
324,75,50,60
325,75,80,85
326,75,50,85
327,85,70,90
328,70,50,60
329,70,60,85
330,85,90,95
331,65,70,80
332,65,30,85
333,85,70,90
334,80,60,85
335,85,90,80
336,85,75,90
337,85,90,75
338,80,70,90
339,75,60,50
340,75,50,50
341,85,75,90
342,85,80,90
343,90,85,80
344,85,70,90
345,85,70,90
346,85,70,90
347,85,70,90
348,70,50,80
349,85,70,90
350,85,90,95
351,85,80,90
352,70,50,80
353,75,60,80
354,90,85,95
355,85,70,90
356,85,90,80
357,85,80,90
358,85,60,90
359,85,70,78
360,85,70,90
361,75,85,70
362,85,70,90
363,75,60,80
364,85,70,90
365,85,70,90
366,90,80,95
367,70,50,80
368,85,80,90
369,75,50,90
370,90,30,75
371,85,80,90
372,85,75,90
373,70,50,90
374,70,85,90
375,85,70,90
376,90,80,85
377,90,85,95
378,75,85,90
379,80,50,90
380,90,95,85
381,85,75,90
382,85,80,90
383,80,65,90
384,70,80,60
385,70,85,75
386,75,50,90
387,75,85,90
388,85,70,90
389,85,70,80
390,75,60,85
391,70,40,85
392,85,65,90
393,70,60,80
394,85,70,90
395,75,60,80
396,70,75,85
397,60,40,50
398,70,60,80
399,80,90,85
400,80,70,90
401,85,70,90
402,75,60,85
403,70,40,65
404,85,70,90
405,90,85,95
406,70,60,75
407,85,70,90
408,85,70,90
409,75,40,60
410,90,85,95
411,85,90,80
412,85,90,80
413,85,75,90
414,70,90,80
415,85,70,90
416,40,20,60
417,75,60,85
418,60,40,80
419,85,70,90
420,90,85,80
421,85,70,90
422,90,85,95
423,85,70,90
424,75,60,80
425,90,50,95
426,85,90,70
427,75,60,85
428,85,60,90
429,85,70,90
430,75,50,90
431,70,60,80
432,85,70,90
433,85,70,60
434,60,10,75
435,90,85,95
436,85,70,90
437,85,70,90
438,70,80,90
439,85,80,90
440,85,70,80
441,75,50,80
442,65,50,80
443,85,70,90
444,75,60,80
445,85,70,90
446,75,30,85
447,70,60,80
448,70,40,80
449,75,80,90
450,65,45,80
451,85,70,90
452,85,75,90
453,70,85,60
454,75,80,65
455,85,80,90
456,88,76,92
457,90,85,95
458,85,90,80
459,92,85,95
460,70,60,80
461,85,80,90
462,60,45,70
463,85,70,90
464,85,70,90
465,75,50,80
466,70,50,80
467,65,60,75
468,85,90,80
469,90,80,85
470,85,70,90
471,90,80,95
472,85,70,90
473,85,70,90
474,70,40,85
475,75,20,60
476,70,60,80
477,90,85,80
478,85,70,90
479,75,60,90
480,75,60,80
481,65,40,80
482,75,65,80
483,90,85,95
484,65,70,80
485,75,80,70
486,85,70,90
487,70,85,60
488,85,50,90
489,75,60,80
490,65,50,80
491,70,60,80
492,70,50,85
493,80,60,90
494,85,70,90
495,85,70,90
496,85,90,95
497,75,60,80
498,70,50,80
499,85,90,90
500,70,85,75
501,85,90,80
502,60,70,80
503,75,80,65
504,80,60,85
505,50,60,70
506,85,60,90
507,85,70,90
508,75,80,70
509,70,60,80
510,75,90,80
511,65,50,75
512,85,90,95
513,75,60,85
514,85,70,90
515,70,65,80
516,80,70,90
517,85,70,90
518,70,60,75
519,75,85,90
520,85,70,90
521,75,50,80
522,75,60,80
523,85,90,70
524,85,70,90
525,70,60,85
526,80,90,85
527,70,40,85
528,80,70,90
529,80,60,90
530,70,40,85
531,85,70,60
532,65,40,75
533,90,60,100
534,85,60,90
535,80,60,90
536,85,70,90
537,75,60,85
538,85,60,90
539,70,50,80
540,70,75,80
541,85,70,90
542,75,30,85
543,70,60,80
544,80,60,90
545,85,70,90
546,80,50,90
547,75,60,80
548,80,70,85
549,70,50,80
550,75,40,60
551,85,90,80
552,70,60,75
553,70,80,90
554,70,60,80
555,75,80,85
556,90,70,80
557,90,85,95
558,85,80,90
559,85,90,80
560,85,80,70
561,70,50,80
562,70,60,75
563,90,70,80
564,75,60,85
565,85,70,90
566,45,60,75
567,60,30,40
568,85,70,90
569,70,60,80
570,75,60,85
571,70,50,80
572,75,40,90
573,75,60,85
574,85,90,75
575,70,50,90
576,70,60,80
577,75,50,85
578,82,90,88
579,70,75,80
580,70,50,80
581,85,70,90
582,85,75,90
583,75,50,80
584,90,80,85
585,85,70,90
586,85,70,90
587,85,60,90
588,70,50,80
589,85,70,90
590,85,70,90
591,85,0,95
592,70,60,80
593,85,70,90
594,70,60,75
595,85,75,90
596,75,80,85
597,70,80,90
598,85,60,90
599,85,70,90
600,90,85,70
601,70,60,80
602,85,50,90
603,70,40,60
604,75,60,80
605,70,60,80
606,75,60,85
607,75,60,80
608,90,20,100
609,90,95,85
610,75,80,85
611,65,75,80
612,75,85,90
613,70,60,80
614,85,75,90
615,75,60,80
616,85,70,90
617,70,80,60
618,85,80,90
619,65,70,75
620,85,80,90
621,85,65,90
622,85,70,90
623,85,90,75
624,85,80,90
625,85,90,70
626,90,85,80
627,85,70,90
628,60,40,70
629,85,70,90
630,70,40,60
631,70,50,85
632,85,90,95
633,80,70,85
634,75,50,80
635,85,70,80
636,70,50,80
637,75,60,80
638,85,70,90
639,85,75,90
640,85,70,95
641,85,70,90
642,80,70,90
643,80,60,90
644,85,60,75
645,85,70,90
646,80,70,90
647,75,60,85
648,85,70,90
649,65,70,80
650,85,70,95
651,65,50,75
652,85,75,90
653,85,70,90
654,75,60,90
655,80,90,70
656,75,60,80
657,75,50,90
658,85,70,90
659,70,80,90
660,75,50,90
661,55,30,70
662,70,50,80
663,80,70,85
664,85,90,80
665,85,75,90
666,85,70,90
667,90,60,85
668,70,40,60
669,70,60,75
670,65,50,70
671,45,60,75
672,70,50,80
673,85,90,95
674,70,30,80
675,75,80,60
676,90,80,100
677,85,70,90
678,85,70,90
679,85,90,80
680,85,70,75
681,85,10,95
682,75,60,80
683,60,40,80
684,90,80,95
685,60,40,80
686,65,45,50
687,70,40,60
688,85,80,90
689,85,70,90
690,75,60,85
691,85,70,90
692,70,20,80
693,70,60,85
694,60,75,40
695,85,70,90
696,90,80,95
697,70,50,80
698,85,50,90
699,85,75,90
700,70,80,90
701,85,60,90
702,75,20,90
703,85,90,95
704,75,50,90
705,85,75,90
706,75,85,70
707,75,60,80
708,70,80,90
709,50,20,70
710,80,75,85
711,75,60,80
712,70,60,80
713,85,90,80
714,75,60,80
715,75,60,85
716,85,70,80
717,75,80,85
718,85,60,95
719,70,40,80
