,MarianMT,Unicamp_T5,NLLB_1.3b
0,85,70,90
1,85,70,90
2,70,50,60
3,85,70,90
4,80,90,85
5,80,70,90
6,75,60,85
7,85,60,90
8,85,80,70
9,85,80,90
10,75,80,85
11,75,60,85
12,85,75,90
13,75,60,80
14,75,50,80
15,90,70,85
16,70,50,80
17,70,50,85
18,60,30,75
19,80,70,90
20,75,60,85
21,85,70,90
22,80,70,90
23,70,50,60
24,70,60,80
25,85,70,95
26,85,90,95
27,80,50,90
28,85,70,90
29,85,75,90
30,85,70,90
31,80,70,90
32,90,70,80
33,60,70,80
34,75,60,85
35,75,65,90
36,85,70,90
37,85,60,75
38,85,70,80
39,85,60,90
40,65,70,80
41,70,85,75
42,87,75,92
43,75,60,50
44,85,70,80
45,85,60,90
46,85,70,90
47,60,40,75
48,75,60,85
49,70,20,85
50,70,80,75
51,65,20,80
52,90,80,95
53,70,80,60
54,75,50,85
55,85,60,90
56,85,70,60
57,75,60,85
58,75,60,85
59,85,70,90
60,70,60,80
61,75,80,60
62,85,90,95
63,80,75,85
64,85,90,95
65,70,60,80
66,70,60,80
67,80,50,90
68,75,60,85
69,75,80,90
70,90,80,100
71,90,85,95
72,85,90,70
73,85,70,90
74,75,90,85
75,75,50,90
76,70,40,80
77,70,60,90
78,75,60,85
79,85,90,80
80,90,70,95
81,70,75,80
82,85,70,90
83,85,90,75
84,70,65,80
85,75,60,85
86,85,30,90
87,85,70,90
88,80,75,85
89,70,50,80
90,85,70,90
91,85,75,90
92,80,70,90
93,70,50,80
94,85,70,90
95,85,60,90
96,85,90,95
97,75,65,90
98,75,40,85
99,85,90,95
100,85,90,80
101,75,60,85
102,70,50,80
103,75,60,80
104,75,60,85
105,85,70,90
106,85,70,75
107,75,50,85
108,75,60,85
109,85,70,90
110,80,75,90
111,85,90,90
112,85,70,90
113,80,70,90
114,75,60,80
115,70,80,85
116,75,50,85
117,85,70,90
118,85,70,90
119,70,60,80
120,75,60,80
121,75,60,80
122,85,20,95
123,75,60,85
124,85,60,90
125,75,60,80
126,60,50,70
127,85,70,90
128,75,80,90
129,85,70,90
130,75,80,90
131,85,60,90
132,85,70,90
133,85,70,90
134,70,50,85
135,90,85,95
136,75,80,60
137,70,40,80
138,85,90,75
139,75,60,70
140,85,50,90
141,85,70,90
142,85,70,90
143,85,90,100
