,MarianMT,Unicamp_T5,NLLB_1.3b
0,75,50,60
1,85,90,75
2,75,85,90
3,70,50,85
4,75,60,80
5,70,85,80
6,85,70,80
7,85,75,90
8,85,70,90
9,65,50,80
10,90,70,95
11,85,70,90
12,85,70,90
13,85,60,90
14,60,40,70
15,70,80,60
16,85,70,90
17,85,70,90
18,85,60,95
19,70,60,80
20,80,70,90
21,60,30,75
22,75,60,85
23,85,90,80
24,85,60,75
25,80,60,90
26,75,60,85
27,85,70,90
28,85,70,95
29,85,60,90
30,90,85,95
31,70,60,85
32,85,70,90
33,85,75,90
34,85,90,70
35,77,31,82
36,85,70,80
37,75,60,90
38,95,90,85
39,85,70,90
40,85,50,90
41,85,70,90
42,90,70,95
43,70,60,80
44,70,60,80
45,75,50,60
46,75,40,85
47,85,70,90
48,85,75,80
49,85,70,90
50,85,70,90
51,70,60,80
52,85,70,90
53,85,60,90
54,90,75,100
55,75,60,90
56,85,90,80
57,85,90,95
58,60,20,80
59,85,70,90
60,60,30,70
61,85,70,92
62,75,80,70
63,80,70,90
64,80,70,90
65,70,60,80
66,85,80,90
67,75,50,90
68,85,60,95
69,65,40,75
70,50,30,40
71,90,75,65
72,80,90,70
73,85,70,90
74,85,70,90
75,90,85,90
76,85,70,90
77,85,70,90
78,80,70,90
79,70,50,60
80,75,60,85
81,70,60,80
82,85,60,90
83,80,65,90
84,80,65,90
85,75,80,85
86,85,80,90
87,85,70,90
88,85,70,90
89,75,80,90
90,75,50,80
91,70,50,80
92,75,80,90
93,80,75,85
94,70,60,80
95,70,50,80
96,85,40,90
97,80,60,70
98,70,50,75
99,85,70,90
100,85,70,90
101,75,80,85
102,85,70,90
103,75,80,85
104,85,70,90
105,82,75,90
106,85,75,90
107,75,60,85
108,90,85,80
109,85,70,90
110,70,60,80
111,75,60,85
112,65,70,55
113,85,70,90
114,90,80,95
115,85,70,90
116,85,60,75
117,90,75,85
118,85,90,75
119,70,85,90
120,90,80,95
121,80,70,90
122,75,60,85
123,75,50,80
124,70,65,80
125,80,90,85
126,85,60,90
127,85,90,80
128,90,80,85
129,85,75,90
130,70,80,60
131,75,50,80
132,75,80,85
133,85,70,90
134,85,75,90
