,MarianMT,Unicamp_T5,NLLB_1.3b
0,60,30,70
1,75,50,85
2,85,70,90
3,70,85,80
4,75,60,85
5,70,20,50
6,85,60,90
7,70,80,90
8,85,90,70
9,85,75,90
10,90,80,95
11,85,70,60
12,85,75,90
13,75,80,90
14,85,75,90
15,85,70,90
16,70,40,60
17,85,60,75
18,85,75,90
19,75,60,85
20,70,20,85
21,75,60,80
22,85,70,90
23,70,20,60
24,85,90,80
25,70,60,75
26,85,80,90
27,65,50,80
28,70,60,80
29,85,60,90
30,85,70,90
31,75,85,90
32,85,70,90
33,85,90,80
34,70,80,90
35,85,70,90
36,85,70,90
37,85,70,90
38,70,45,60
39,85,70,90
40,85,70,90
41,85,70,90
42,85,70,80
43,70,60,80
44,70,60,80
45,80,70,90
46,75,60,80
47,70,80,50
48,70,20,85
49,70,80,60
50,85,70,90
51,70,60,80
52,85,90,80
53,60,40,75
54,85,70,90
55,85,70,80
56,85,60,75
57,85,90,95
58,70,65,80
59,75,60,80
60,85,90,95
61,85,80,90
62,75,90,85
63,75,60,80
64,75,60,90
65,70,50,60
66,85,70,90
67,85,70,90
68,80,60,75
69,80,70,90
70,85,75,90
71,80,60,90
72,90,75,85
73,90,85,80
74,80,90,70
75,75,85,90
76,75,80,70
77,85,90,90
78,65,20,80
79,65,40,80
80,65,50,75
81,75,80,90
82,85,70,90
83,85,70,90
84,70,50,80
85,70,60,75
86,85,70,90
87,85,70,90
88,70,75,60
89,85,70,90
90,80,70,90
91,70,60,80
92,85,60,90
93,75,60,85
94,80,70,90
95,85,80,90
96,85,70,90
97,75,85,90
98,65,50,70
99,90,65,85
100,85,70,90
101,70,75,60
102,85,75,90
103,75,80,90
104,85,70,90
105,85,80,90
106,70,40,60
107,75,60,80
108,70,60,75
109,85,70,90
110,85,70,90
111,85,90,95
112,60,40,80
113,55,70,80
114,50,60,70
115,65,75,80
116,95,90,95
117,75,60,80
118,85,70,90
119,85,90,80
120,85,70,90
121,85,70,90
122,75,50,80
123,75,70,85
124,85,40,90
125,80,60,70
126,70,50,60
127,75,50,90
128,70,50,90
129,85,75,90
130,85,70,90
131,85,75,90
132,85,90,95
133,85,75,90
134,70,50,80
135,75,60,90
136,80,50,85
137,75,80,85
138,85,75,90
139,70,65,75
140,70,60,80
141,75,60,90
142,72,58,82
143,85,75,90
144,80,85,90
145,80,40,90
146,90,80,95
147,65,60,70
148,85,80,90
149,85,90,95
150,70,50,80
151,75,50,85
152,85,70,90
153,70,60,80
154,70,60,85
155,85,70,90
156,70,65,85
157,85,70,90
158,75,60,55
159,75,80,85
160,85,70,90
161,85,70,90
162,70,40,80
163,75,60,90
164,85,70,90
165,80,60,90
166,85,70,90
167,85,80,90
168,70,50,85
169,85,80,90
170,75,40,80
171,85,70,90
172,85,90,80
173,70,50,80
174,85,70,90
175,75,60,40
176,70,75,80
177,65,40,75
178,60,70,80
179,85,80,90
180,70,40,85
181,85,90,95
182,70,40,80
183,85,70,95
184,70,50,80
185,85,90,95
186,75,60,80
187,85,70,90
188,75,60,85
189,60,40,75
190,85,70,90
191,70,65,75
192,75,40,85
193,85,75,90
194,70,60,80
195,70,60,85
196,70,60,50
197,80,60,85
198,70,60,80
199,70,80,60
200,70,60,80
201,85,70,80
202,75,85,65
203,85,70,90
204,70,60,80
