,MarianMT,Unicamp_T5,NLLB_1.3b
0,85,70,75
1,70,50,90
2,85,70,90
3,90,85,95
4,85,70,90
5,85,70,90
6,85,70,90
7,75,60,85
8,85,70,90
9,70,50,80
10,75,60,85
11,75,80,85
12,65,50,80
13,85,90,80
14,75,60,80
15,70,50,80
16,80,90,85
17,85,90,95
18,75,85,90
19,70,50,80
20,85,70,90
21,85,90,95
22,75,50,90
23,70,50,80
24,75,60,80
25,70,80,90
26,75,80,85
27,85,70,90
28,75,90,95
29,85,70,90
30,90,85,95
31,70,60,80
32,85,70,90
33,75,40,85
34,85,70,90
35,65,70,80
36,85,70,90
37,75,30,85
38,80,40,90
39,90,80,95
40,85,70,90
41,85,60,90
42,75,80,60
43,85,90,80
44,75,60,85
45,85,70,90
46,85,90,75
47,85,90,80
48,85,70,90
49,70,60,80
50,70,50,85
51,75,85,90
52,85,50,90
53,70,60,80
54,85,70,90
55,70,85,80
56,85,60,90
57,90,80,100
58,75,50,85
59,75,90,65
60,75,60,80
61,60,40,80
62,85,70,90
63,80,70,90
64,85,90,95
65,70,60,80
66,70,85,75
67,85,80,90
68,50,60,70
69,85,70,90
70,85,70,90
71,70,55,80
72,75,80,90
73,75,50,90
74,85,70,90
75,90,85,95
76,75,80,90
77,75,50,60
78,85,70,90
79,85,70,90
80,70,60,80
81,75,85,70
82,75,60,80
83,70,45,60
84,80,70,60
85,65,70,75
86,70,50,85
87,75,80,85
88,85,70,90
89,75,50,90
90,75,90,80
91,85,70,90
92,70,40,85
93,85,70,90
94,70,60,80
95,70,80,60
96,70,60,80
97,85,70,80
98,85,70,90
99,80,60,70
100,85,80,90
101,70,50,90
102,75,80,90
103,75,60,80
104,75,60,80
105,85,70,90
106,85,70,90
107,80,70,90
108,70,80,60
109,85,75,90
110,80,85,70
111,75,60,80
112,85,80,90
113,85,40,90
114,75,70,80
115,85,70,80
116,85,70,90
117,75,65,85
118,85,90,95
119,85,70,90
120,65,40,55
121,80,60,90
122,70,50,80
123,70,60,80
124,65,40,80
125,90,85,80
126,70,80,85
127,80,70,85
128,65,50,75
129,85,60,95
130,60,70,80
131,85,75,90
132,75,60,80
133,50,30,60
134,85,70,90
135,85,75,90
136,60,40,70
137,75,80,85
138,85,80,90
139,70,60,80
140,85,80,70
141,85,60,90
142,85,70,80
143,85,75,90
144,75,80,65
145,83,68,55
146,80,85,90
147,85,70,90
148,85,70,90
149,85,70,90
150,85,70,90
151,85,70,90
152,75,60,80
153,70,60,80
154,70,40,85
155,85,70,80
156,70,50,80
157,75,80,90
158,80,50,90
159,75,60,80
160,85,70,90
161,85,70,90
162,85,60,90
163,75,50,85
164,85,70,80
165,85,70,90
166,70,50,80
167,85,70,90
168,85,70,90
169,80,60,90
170,85,75,90
171,75,50,100
172,65,40,80
173,85,80,75
174,60,70,80
175,85,75,90
176,85,60,90
177,75,60,80
178,75,80,85
179,80,60,85
180,85,70,90
181,85,70,90
182,70,60,80
183,70,50,60
184,85,60,90
185,85,75,80
186,70,85,75
187,65,80,90
188,70,80,90
189,75,60,80
190,85,70,90
191,85,70,90
192,65,80,90
193,85,75,90
194,85,70,90
195,70,50,85
196,75,60,85
197,80,60,90
198,70,60,80
199,75,60,80
200,85,70,90
201,75,85,65
202,70,80,85
203,85,70,90
204,70,60,80
205,75,60,80
206,85,70,90
207,85,70,90
208,75,60,90
209,85,70,90
210,70,50,80
211,65,50,75
212,75,60,80
213,70,80,90
214,90,85,80
215,75,80,85
216,85,70,90
217,65,50,75
218,85,75,90
219,85,70,90
220,75,80,90
221,60,40,50
222,70,60,80
223,60,30,40
224,85,70,90
225,85,70,75
226,90,80,95
227,75,60,85
228,85,60,90
229,85,60,90
230,85,60,90
231,80,60,90
232,60,20,40
233,70,40,85
234,87,65,92
235,70,50,85
236,90,95,85
237,85,75,90
238,80,60,85
239,85,70,90
240,60,40,75
241,75,50,90
242,80,60,90
243,85,70,90
244,85,70,90
245,85,30,90
246,75,60,85
247,70,60,80
248,85,70,90
249,65,70,80
250,85,70,90
251,85,70,90
252,85,70,80
253,90,75,95
254,70,40,85
255,85,70,90
256,85,70,90
257,90,75,85
258,70,40,90
259,85,80,90
260,85,80,90
261,85,90,80
262,70,45,85
263,80,50,90
264,85,90,75
265,70,80,90
266,85,90,80
267,80,60,40
268,75,80,85
269,85,70,90
270,85,70,90
271,90,85,95
272,85,70,90
273,85,70,90
274,80,85,90
275,85,75,90
276,80,70,90
277,85,70,90
278,70,80,75
279,90,80,95
280,90,85,95
281,85,70,90
282,70,55,80
283,85,70,90
284,70,60,50
285,90,75,95
286,85,80,90
287,70,60,80
288,85,75,90
289,85,70,90
290,70,50,85
291,85,70,90
292,70,60,80
293,85,90,80
294,70,40,80
295,85,90,80
296,85,70,90
297,80,60,90
298,85,70,95
299,65,70,80
300,85,70,90
301,60,70,80
302,85,70,90
303,70,80,90
304,85,70,90
305,80,85,70
306,75,80,90
307,75,50,85
308,75,60,80
309,85,80,90
310,70,60,40
311,75,80,90
312,85,70,90
313,60,30,50
314,85,70,90
315,75,60,85
316,70,50,60
317,85,70,90
318,70,60,80
319,85,60,90
320,85,80,70
321,75,60,80
322,70,60,80
323,75,60,85
324,70,60,75
325,85,70,90
326,65,70,80
327,90,80,95
328,70,60,80
329,70,60,80
330,75,50,85
331,70,50,80
332,70,50,85
333,75,80,60
334,80,90,85
335,85,70,90
336,65,50,80
337,85,60,90
338,75,60,85
339,70,60,80
340,85,70,90
341,75,60,80
342,90,95,80
343,75,40,85
344,75,40,85
345,85,75,90
346,90,75,95
347,65,70,80
348,65,30,80
349,65,40,80
350,70,60,85
351,65,50,80
352,50,75,85
353,85,30,90
354,75,80,90
355,70,40,85
356,90,85,95
357,75,50,85
358,85,75,90
359,70,80,85
360,85,70,90
361,85,90,80
362,85,70,50
363,70,55,80
364,75,50,90
365,95,90,100
366,85,90,95
367,75,80,90
368,75,60,90
369,75,50,60
370,85,40,90
371,75,85,90
372,70,60,75
373,70,80,60
374,75,80,85
375,90,70,95
376,70,20,60
377,70,80,60
378,85,90,80
379,70,80,60
380,85,70,90
381,75,85,90
382,70,80,85
383,85,90,80
384,70,80,90
385,85,75,90
386,85,78,92
387,75,60,90
388,80,70,90
389,65,40,80
390,80,70,90
391,65,70,80
392,85,90,95
393,90,75,95
394,70,80,90
395,80,90,70
396,85,70,90
397,75,80,85
398,85,70,90
399,75,60,80
400,85,90,80
401,85,70,90
402,75,80,70
403,70,50,85
404,85,70,90
405,85,70,90
406,70,60,85
407,85,70,95
408,85,80,90
409,60,45,70
410,90,85,90
411,90,85,95
412,80,75,60
413,75,60,85
414,70,55,80
415,70,55,80
