,context,question,answerA,answerB,answerC,correct
0,"Even though she had homework to do that night, Jesse helped Skylar study.",What will Jesse want to do next?,read homework to Skylar,help Skylar finish,skip her studying,B
1,"After school, Casey met the friend at a bar so they could study for the final together.",Why did Casey do this?,have a good idea of the material,goof around with a friend,have a few drinks and leave,A
2,Jesse went quickly to their mother and their mother told them they were good.,How would Jesse feel afterwards?,wasting their time,that they are a good child,that their mother always calls them,B
3,"Robin knew that Kai really wanted her to the like her outfit so when Kai asked her opinion, Robin said she loved it.",Why did Robin do this?,paid her to say that she liked it,she never really liked Kai or her fashion,she knew Kai wanted Robin to like the outfit,C
4,Addison slept well last night after playing baseball for several hours.,Why did Addison do this?,regain her energy,hit a home run,run the bases,A
5,Quinn rode their bike down the street and stopped at an ice cream parlor.,What will Quinn want to do next?,steal a cone,buy a new pet,eat some ice cream,C
6,kendall was a nice person so she cooked breakfast for riley's family.,What will happen to Riley?,he will hate kendall,he will resent kendall,he will thank kendall,C
7,Sasha decided to run for student council president. The principal Addison gave their support to Sasha for the position.,How would Sasha feel as a result?,confident in Sasha,that Sasha will do well,confident,C
8,Alex had a party at his house while his parents were out of town even though they told him not to.,What will happen to Alex's parents?,punish Alex for having a party,get in trouble,have to clean up the mess,A
9,Aubrey was married for 20 years when she got a divorce.,How would Aubrey feel afterwards?,productive,energized,depressed,C
10,Austin played a the most popular game in the world and was asked to join a competition.,What will Austin want to do next?,quit gaming next,join the competition next,become skilled at the game,B
11,taylor was doing her job so she put the money in the drawer.,What will Taylor want to do next?,keep doing her job,stop putting money in the drawer,quit her job,A
12,Carson woke up early in the morning and started doing chores.,Why did Carson do this?,didn't want to do chores,wanted their room to look messy,wanted to get their chores done,C
13,Cameron tried to work on commission as a stock broker. They made almost nothing.,What will Cameron want to do next?,ask for a promotion,try something else,wanted to get rich,B
14,Taylor gave their daughter an allowance and it was a few more bucks than last time.,What will Others want to do next?,tell her to budget her money,lazy,loved,A
15,Tracy protected Austin's body from the sun with a thick layer of sunscreen.,What will happen to Tracy?,help Austin be safe,get away from everyone,stay away from Austin,A
16,Kai made a wish and truly believed that it would come true.,How would you describe Kai?,a cynical person,like a wishful person,a believing person,C
17,Jesse fell down the hill and hurt her ankle.  Austin offered to carry her and she wrapped her legs around his waist.,What will Austin want to do then?,go up the hill,take Jesse to the emergency room,shake Jesse off and run away,B
18,lee was a nice person so he put cameron's sweater around jordan to keep her warm.,How would Jordan feel as a result?,as ungrateful,as grateful,friendly and social,B
19,Cameron and their friends were playing baseball. Cameron got a hit in the game.,Why did Cameron do this?,wanted to score for their team,run around the bases,wanted to go home quickly,A
