,context,question,answerA,answerB,answerC,correct
20000,"Realizing that he was being overbearing an rude, Jan gave Bailey space.",What does Jan need to do before this?,needed to be carefree,give Bailey some space,needed to realize Bailey was upset,C
20001,It was time to get groceries so Sasha took the family shopping.,What will Others want to do next?,be productive,anything to eat,help with getting the groceries,C
20002,"Wanting to make homemade ice cream, Kendall put the machine into operation.",What will Kendall want to do next?,make ice cream,get milk,eat ice cream,A
20003,Robin bought a new phone and it broke right after she got it.,How would Robin feel afterwards?,depressed,fulfilled,excited,A
20004,Carson spent time listening when nobody else would and all of the kids loved him.,How would you describe Carson?,a cruel person,a loving person,only thinking of himself,B
20005,"Robin overcame her shame and fear, and brought the accusation to trial.",How would Robin feel afterwards?,felt like it had been a waste of time,felt guilty,felt proud of herself,C
20006,Carson pulled the key from Jordan's pocket earlier which made him get locked out of the house.,What will Jordan want to do next?,know where the key was,put the key away,climb in through the window,B
20007,Riley struck fear into the hearts of the villagers when she announced that her forces would burn down every cottage that harbored fugitives.,Why did Riley do this?,impress the general of her army,run away from the village,calm the villagers down,A
20008,"Bailey was scared to move, so Riley kept in touch with Bailey the whole time.",How would Bailey feel as a result?,relieved,concerned about the wellbeing of Bailey,a kind friend for caring about Bailey,A
20009,Remy didn't make food at home anymore after almost burning down her kitchen making pasta.,Why did Remy do this?,avoid danger from fire,eat out,ignore her short comings,A
20010,Robert was applying to nursing school and asked Lee for a recommendation letter.,What did Robert need to do before this?,finish going to medical school,do good work for Lee to impress them,want one too,B
20011,Jordan was jealous of Carson's new paints. Jordan used Carson's array of paints without permission.,How would you describe Jordan?,happy,a immature,worried about upsetting Carson,B
20012,Sasha was happy to see that upon arriving home to find her front door locked as it had been when she had left the house early that morning.,How would you describe Sasha?,good,still locked,normal,C
20013,Addison was having her birthday party in the afternoon and nobody came.,How would Addison feel afterwards?,someone with poor party planning skills,rejected,happy,B
20014,Kai needed to use the bathroom so she excused herself before leaving the table.,How would Kai feel afterwards?,anxious afterwards,polite afterwards,stressed afterwards,B
20015,"Ash was out at the pool for too long and got a sunburn, so Ash put aloe on their sunburn.",How would Ash feel afterwards?,careful,Relieved,cautious,B
20016,Jordan was making pickles and wanted to put everything away before his mom got back home.,What will Jordan want to do next?,leave the pickles out,make a mess in the kitchen,finish pickling and clean up,C
20017,Ash made a mistake at work and Riley gave Ash another chance.,What will Riley want to do next?,try harder than ever to improve,wants Ash to do well,knows about people,B
20018,Kendall let Carson's dog out out of the play pen.,What will Carson want to do next?,pet the dog,care for it,let it run free,C
20019,Taylor sold Jordan's land for her asking price.,What will Jordan want to do next?,receive a commission next,buy a new house,go on vacation,B
20020,Skylar was making a exhibit about cameras for the school science fair in their town.,Why did Skylar do this?,needed to make a shutter for the camera,Setup his science booth,was angry and wanted to punch the box,B
20021,Riley gave Quinn a view of the city from his high condo.,What will happen to Riley?,appreciate him,won't have friends,he will jump off,A
20022,Quinn was in a hurry and was quickly driving down the highway.,How would you describe Quinn?,not in a rush,in a  hurry,very unhappy,B
20023,Carson told Cameron's sister the news that Cameron was pregnant.,What will Cameron want to do next?,pick a name,smoke a cigarette,drink alcohol,A
20024,Jordan told Riley's boyfriend that Riley could go out that night.,What will Riley want to do next?,go out with their boyfriend,talk to Riley's boyfriend,tell them they are fun,A
