,context,question,answerA,answerB,answerC,correct
25000,"Casey knew their boyfriend was a huge fan of a famous rock band that was coming to town in a few weeks for a show, so Casey surprised their boyfriend with two tickets.",How would Others feel as a result?,taken for granted,upset,grateful,C
25001,Jesse created the situation for Taylor to be able to succeed.,Why did Jesse do this?,think the best about Taylor,follow Jesse's directions,want the best for Taylor,C
25002,Skylar followed him everywhere because she liked him.,How would you describe Skylar?,rejectful of him,assertive,Others would want Skylar to just tell him she likes him,B
25003,Jesse went to the zoo with her family and they got tickets for the orca show as well.,What does Jesse need to do before this?,wanted to show her family the orcas,get tickets before this,call in sick before this,A
25004,jordan was a cautious person so he tested the waters before jumping in.,Why did Jordan do this?,survey the situation,bore himself,proceed cautiously,C
25005,Lee was playing for his country in a soccer match.  Before the match began the national anthem was played and Lee stood shoulder to shoulder with the players of the team.,How would you describe Lee?,A lone wolf,A team member,Embarrassed,B
25006,Casey suits Jan's tastes as Jan discovers when they start talking.,What will Casey want to do next?,punch Jan,ask Jan on a date,get angry at Jan,B
25007,"Remy love Tracy too much, and ended up going crazy worrying about something going wrong.",What does Remy need to do before this?,have a bias against thinking,get in a relationship with Tracy,get in a class with Tracy,B
25008,Bailey became pregnant without planning it and decided to get an abortion.,How would Bailey feel as a result?,thankful to their friend,excited to be a mother,not careful,C
25009,Jan bought a sandwich for lunch but she dropped it.,What does Jan need to do before this?,make an excuse to not eat the sandwich,change her mind about the sandwich,Order a quarter pounder,C
25010,Tracy invited the people to a party but ignored a lot of them.,How would Others feel as a result?,okay with it first,"People won't receive a notification that they've been removed. They won't get future messages or notifications from the event, and it'll no longer appear in their events",hurt,C
25011,Sasha showed Kai's daughter how to dance like a professional dancer.,What will Sasha want to do next?,want to help kai's daughter,go to bed,create a routine,C
25012,Tracy amended the speech by adding a paragraph to the end of it to wrap it all up.,How would Tracy feel afterwards?,happy with the speech,angry with the speech,mad at others,A
25013,Tracy kept Jesse's counsel and moved away from the village.,What does Tracy need to do before this?,do nothing,take care of business,listen to Jesse again,B
25014,Tracy used their skateboard as a means of transportation because they don't have a car.,What will Tracy want to do next?,be alone,Buy a skateboard,meet up with friends,C
25015,Addison got good grades after studying for weeks to do well on their finals.,How would Addison feel afterwards?,useless,accomplished,terrible,B
25016,Sydney and Kendall were arguing and Sydney pulled a knife. Sydney killed Kendall instantly when she used the knife.,What will happen to Sydney?,drop dead afterwards,go to jail,pass away afterwards,B
25017,Jesse was paying a penalty for a crime. Jesse did community service yesterday.,How would Jesse feel afterwards?,like they were insulted,that Jesse helped the community,like they were free,B
25018,Jesse took their wife to France for their anniversary. They went every year.,How would you describe Jesse?,thoughtless and cruel,hateful and fake,loving and genuine,C
25019,Riley was visiting Skylar's city and Skylar wanted to show Riley the city sights.,Why did Skylar do this?,take him out on the town,wanted to make a good impression on Riley,show him the sights,C
25020,Aubrey sent Ash a text message about going to the movies later that night.,How would you describe Aubrey?,bored,happy,passive,A
25021,"Jordan wanted revenge on Bailey, so he published her account information online.",What will Bailey want to do next?,get Bailey's information,get revenge on Jordan,make a revenge plan,C
25022,Taylor expressed their position clearly to the opposing team that day.,How would Taylor feel afterwards?,dishonest and sneaky,clear and concise,confident to win,C
25023,Remy put cream on Lee's face to help them with acne.,What will happen to Remy?,look good,look bad,worse,A
25024,Jordan awaited Lee's opportunity and saw that Lee performed the task very well.,How would Jordan feel afterwards?,angry at Lee,resentful at Lee,proud of lee,C
25025,"Since Riley wanted to expand the group, Riley established outposts in new areas.",How would Riley feel afterwards?,satisfied by their meal,accomplished,discouraged,B
25026,Casey took these factors into account when making deliberations on what to do next.,How would you describe Casey?,neglectful,careless,thorough,C
25027,Tracy went to the field that had corn in it and sat and looked around.,What will Tracy want to do next?,leave the field,needed to drive the tractor to the field,yell at her mother,A
25028,Sasha took a lunch break in the park to eat her sandwiches.,Why did Sasha do this?,eating lunch,she hated nature,she loved the park,C
25029,Kai decorated their house for Halloween to make sure kids would know to come.,Why did Kai do this?,be uninviting,show kids they could get candy,climb up on a ladder,B
25030,"Jesse went on vacation to Disney World again the next year, after their first trip there.",Why did Jesse do this?,have a good trip,enjoy themselves at Disney World again,enjoy themselves at Disneyland again,B
25031,Reagan was applying to nursing school and asked Lee for a recommendation letter.,What did Reagan need to do before this?,do good work for Lee to impress them,happy for Reagan,finish going to medical school,A
25032,Robin used Tracy's device to find her phone and then returned the device after finding it.,What will happen to Tracy's device?,refuse to use it,have no success with it,return it after they are done,C
25033,Remy rounded their neck gently with his arm to comfort them.,What will Remy want to do next?,say words of assurance,yell and shout,better,A
25034,Riley told Quinn that they would like to meet them at a party and dance.,What will happen to Riley?,go to a waterfall,go to a mall,see Quinn,C
25035,Sydney didn't like to be around their alcoholic family. Sydney kept Lee apart from family.,How would Lee feel as a result?,Happy,Connected,Isolated,C
25036,Carson called home to tell her parents the news.,How would you describe Carson?,excited for Carson,excited,Shy,B
25037,Riley wanted a unique wedding dress. She decided to make her own dress.,Why did Riley do this?,get the materials to make her own dress,research how to make her own dress,wanted to be creative,C
25038,Jesse plays professional poker. Jesse played cards all day at the tournament and made it to the final round.,How would Jesse feel afterwards?,a poker player,in a tournament,jittery & excited,C
25039,"Kendall had a roast chicken for dinner but rather than wasting the left overs, Kendall threw them to the dogs.",How would Kendall feel afterwards?,bad to not waste anything,glad to not waste anything,kind,B
25040,casey knew a lot about swimming pools so he became an expert for aubrey.,What will happen to Aubrey?,teach her about pools,put in a pool,he will thank casey,C
25041,Aubrey had made Sydney explain herself because it was very confusing in the thing that she just did.,Why did Aubrey do this?,good,passive,know what Sydney did this time,C
25042,Remy wanted Carson's kids to come visit so they could have family time and get to know each other.,What does Remy need to do before this?,be fighting Carson,gather their kids,be dating Carson,B
25043,Riley made fun of Sydney for tripping into the creek.,How would you describe Riley?,Happy,Mean,apologetic,B
25044,Kai separated the kids from the men in tae kwon do class to teach better.,How would Kai feel afterwards?,Like a nice person,Like a good teacher,A wise teacher,B
25045,Kai underwent the same operation that Ash did and it really helped.,How would Kai feel afterwards?,Glad they had the operation,a strong person,Like they should get better,A
25046,Carson is the owner of a large company.,Why did Carson do this?,to run the place,wanted to resign,wanted to go bankrupt,A
25047,Quinn depended upon the number to get a high paying career in show business.,How would Quinn feel afterwards?,are hard working,lazy,sad,A
25048,It was taylor's grandmother's birthday so Taylor bought a beautiful necklace and gave the gift to their grandmother during a family dinner party.,What will Others want to do next?,surprise their grandmother,commend Taylor,give their grandmother a gift,B
25049,Jan improved their game by playing well enough to impress the scouts at the game.,What will Jan want to do next?,avoid a scholarship,get a scholarship,ignore the scouts,B
25050,Jordan put posters up around the hall to promote the event.,How would Jordan feel afterwards?,mournful,lazy,entrepreneurial,C
25051,"Sydney had a lot of dietary restrictions. For once, Sydney actually enjoyed the meal from the restaurant.",How would you describe Sydney?,happy he liked a restruant for once,a person who found a restaurant they look,pleased that he enjoyed the meal,C
25052,Tracy had angry words with their mom after Tracy caught their mom snooping through Tracy's belongings one day.,Why did Tracy do this?,apologize to their mom for snooping,find her own place,keep their mom from snooping again,C
25053,Sasha sent Alex a message about the get together.,What does Sasha need to do before this?,forget his number,type,loser her phone,B
25054,addison called the customer into skylar's office to help them with their problem and do their job.,What will happen to Addison?,be ignored,be hated,be appreciated,C
25055,Jesse was taking a bath when she decided to read a book while she soaked.,What does Jesse need to do before this?,have a book before this,turn on the shower before this,wanted to read a popular new book,A
25056,Tracy tried to help Jesse get through an issue they were having.,Why did Tracy do this?,go home and take a nap,hurt her friend Jesse,help Jesse,C
25057,"Even though Jesse's roommate is allergic to animals, he decided to adopt the cat.",What does Jesse need to do before this?,avoid his roommate and keep the cat hidden,Tell his roommate,Buy sleeping medicine,B
25058,Austin did not want to leave the party cause the girl he liked was there by herself.,What does Austin need to do before this?,prepare to talk,dance with the girl,move out of the state,A
25059,Casey didn't listen to the others and gave their friends the benefit of the doubt.,What will happen to Others?,get revenge on Casey,he will die,he will drown,A
25060,Jan brought Tracy's things back to the store and returned them even though Tracy wanted to keep them.,What will happen to Jan?,receive thanks from Tracy,yell at Jan,get in trouble with Tracy,C
25061,Robin decided to help the girls get home after their mother called and said their car wouldn't start.,How would Robin feel afterwards?,like a wizard,like a good person,had felt loved,B
25062,Jan drove back home from the party after realizing they had gotten the date wrong.,What will Jan want to do next?,drive back to the store again,set up a reminder on their phone,ignore the date,B
25063,Alex endured every blow Kurt threw and he got right back up when knocked down.,How would you describe Alex?,a strong individual with much willpower,heroic,determined to finish the movie,A
25064,Alex took the dog for a walk.  They also need some exercise.,How would you describe Alex?,health conscious,unaware about health,tired but satisfied,A
25065,Skylar vowed that he would keep Remy's commandments and run the garage the same way Remy always had.,Why did Skylar do this?,show Remy that the old way of running the business was dumb,show Remy that he loved the garage as much as he had,close up the garage and start a new business,B
25066,Kai needed some help around the house and hired someone.,What did Kai need to do before this?,interview a few housekeepers,fix up the spare key,Walk in the house,A
25067,Sydney changed the way Tracy should finish the project after looking it over.,What will Sydney do next?,send Tracy home,explain the new plan,scrap the plan,B
25068,"After Riley decided he wanted to see the world, he took time off.",What will Riley want to do next?,bring everyone with him,stay at home,take trips to different places,C
25069,Albright was so happy after he won $1000000 on his lottery ticket.,What will Aubrey want to do next?,Forget about it,Cash in the ticket,Throw it away,B
25070,Cameron treated Robin accordingly after she tried to fire him.,What will happen to Cameron?,lose their job,he will get back,they will be friends,A
25071,Sasha threw the candy back. She felt bad about it afterwards when her mother stared at her angrily.,What will Sasha want to do next?,apologize,be healthier,throw more candy,A
25072,Jan shook a leg and got the fleas off the right leg for now.,How would you describe Jan?,feeling lazy,feeling strong,feeling passive,B
25073,Cameron told Ash's son a story and hoped they would listen to it.,What will happen to Cameron if they decline?,be happy,be grateful to Cameron,be sad,C
25074,robin approached their crush and prepared to ask them out on a date.,What will Robin want to do next?,ignore them,ask them out,be friends,B
25075,Tracy washed her dirty linen in public every day at home.,Why did Tracy do this?,be mysterious,keep washing linen,share information,B
25076,Carson took a few days off from work to unwind.,How would Carson feel afterwards?,energized,stressed out,agitated,A
25077,Jesse read Jordan a story before bedtime so he'll go to sleep.,What will Jordan want to do next?,Go to sleep,go in Jordan's room,Go to school,A
25078,Jordan stayed afloat on the raft and had to pray that a ship would pass by to find them.,How would Jordan feel afterwards?,scared,hoping to be saved,happy,A
25079,Addison was angry with Tracy. Addison basically told Tracy to shut up.,What will Tracy want to do next?,be quiet,cause problems,run away,A
25080,"After Casey's lecture and long lesson plan, Addison collected Casey's thoughts for everyone.",What will Addison want to do next?,keep it all to himself,disseminate the notes,throw the notes away,B
25081,Jordan had never done it but he wanted to try anyway.,Why did Jordan do this?,do it again,was curious,was shy,B
25082,Remy did something to hurt Jordan so Remy asked Jordan's pardon so it could be put in the past.,What will happen to Remy?,be forgiven,bad,be slighted,A
25083,Kai bent every spoon while he was trying to get a frozen meal out of the container.,Why did Kai do this?,try and fix their spoons,throw away the container,get the meal out,C
25084,Bailey understood the patient's complaints and did the best to make the patient comfortable.,How would Others feel as a result?,appreciative of Bailey,scared for the patient,afraid of Bailey's diagnosis,A
25085,Remy saw dust in Jordan's eyes after the explosion in the factory.,How would Remy feel afterwards?,happy for Jordan,angry with Jordan,like helping Jordan,C
25086,Jordan came back the next day after he had cooled off from the argument.,How would you describe Jordan?,angry about something,a calm person,a relaxed person,A
25087,Jesse wanted to play the game and Sydney told Jesse she could do it.,What will Sydney want to do next?,try harder,play the game,ask about the game,B
25088,Lee and Jesse were engaged in a spirited debate about their project.,How would you describe Lee?,a logical person,an illogical person,an argumentative person,C
25089,Riley was looking for a particular hair product. She visited a nearby store but didn't find what she was looking for. Riley left the store in search of another retail store. She believes that another store has the product.,How would Riley feel after leaving the first store?,upset,picky,content as she believes that the other retail store carries the hair product she's looking for,B
25090,Cameron brought their family to his play because he had the lead role.,How would you describe Cameron?,supported by his family,irresponsible,talented,C
25091,Skylar ran smoothly during the race so that they could win.,What does Skylar need to do before this?,take a nap,take photos as the winner,train how they run,C
25092,Ash took Jordan's breath away after appearing before Jordan dressed up.,How would you describe Ash?,stunning,mediocre,flattered as a result,A
25093,Lee went to the store to buy some items to make a good breakfast.,What will happen to Alex?,go to the mall,eat some food,sleep in a hotel,B
25094,Riley didn't put in a lot of effort and because of that they would often fail.,How would you describe Riley?,Lazy,like putting in more effort,Ambitious,A
25095,Tracy issued Riley the court's order to stay away from her.,How would Tracy feel afterwards?,indignant,Alone,insulted,B
25096,Kai always played games with his friends and always won.,How would you describe Kai?,very angry,very mad,quite competitive,C
25097,Kendall took the others to the museum and they had a great time before going out to dinner on the way home.,How would Others feel as a result?,thankful as a result,generous,mistreated as a result,A
25098,Riley quizzed Casey on the subject to make sure they were ready to pass the test.,What will happen to Casey?,will flunk out,will graduate,will fail the exam,B
25099,jesse wanted to show jordan his love so he shared it with her.,What will Jordan want to do next?,tell Jordan he loves them,appreciate jesse,hate jesse,B
25100,There had been a lot of robberies in Robin's neighborhood. She organized a watch program and kept an eye out for thieves.,Why did Robin do this?,Stop the thieves,Make sure her neighbors moved away,check for anything fishy,A
