,context,question,answerA,answerB,answerC,correct
10000,Austin told Sasha wife on the upcoming prom that will last a few hours.,What will Austin want to do next?,indifferent,loved,communicate the situation effectively,C
10001,"Alex rolled up their sleeves, put down a drop cloth, and opened the paint can.",What will Alex want to do next?,get a brush and apply paint to the wall,get a brush and soak it in the paint overnight,get a stick and paint all night,A
10002,Quinn took the video games away from Jesse when they had to do their homework.,What will happen to Quinn?,staying on task,getting done,give the games back,C
10003,"In their article, Michigan gave the reader a thorough analysis of Riley's perspective.",How would you describe Michigan?,a writer who has interviewed Riley,know other peoples feelings,Someone who cares about others,A
10004,Lee expressed appreciation to Sydney.  Sydney helped them find a good job.,How would Lee feel afterwards?,forever thankful to Sydney,pleased for their friend,no need to return their favor,A
10005,Sasha was in class and caused a bit of trouble.,What will Others want to do next?,Cause more trouble,Leave class,for Sasha to learn from their mistake,B
10006,Addison held Tracy in their arms. They seemed content and happy together.,What will happen to Addison?,stay with Addison,get married,fall asleep,C
10007,Alex called the doctor to make an appointment for the next day.,Why did Alex do this?,record the appointment,get well,forget everything,B
10008,Cameron provided care to individuals with special needs in a care home.,What will Others want to do next?,give good care,selfish,Train to become a nurse like Cameron,C
10009,Casey wanted more to drink alcohol because she was upset.,How would you describe Casey?,calm,irresponsible,laid back,B
10010,Quinn and Kendall hung out a lot alone. Quinn had never met Kendall's friends come to think of it.,What will Quinn want to do next?,meet the friends,ask Kendall to share,hang out alone,A
10011,Austin made the turn quickly.,What does Austin need to do before this?,not get into an accident,avoid the car,needed to talk to his teacher,B
10012,"Remy provided Addison with a promotional offer in his sales business, explaining what a good opportunity it was.",What does Remy need to do before this?,get an office ready for Addison,order Addison some business cards,prepare a presentation to show Addison,C
10013,Jordan raised Taylor's question because they needed to know the truth.,What will Jordan want to do next?,ignore the truth,don't do anything,find the truth,C
10014,Jordan gave them something to make their headache go away.,What does Jordan need to do before this?,locate medicine,be thankful,eat medicine,A
10015,Cameron turned over on the couch when the heard Remy walk in the room.,What will Remy want to do next?,make people think he's sleeping,go about their day,ignore remy,B
10016,Sasha gave their baby up for adoption since she was too poor to raise a new child.,How would Sasha  afterwards?,had felt depressed,had felt passive,desperate,A
10017,sydney was encouraged to write so sydney tried their craft at writing.,How would you describe Sydney?,proud of themselves for trying,calm,like a writer,A
10018,Quinn wanted to lose weight before his honeymoon so he ate a salad every day for six months.,How would you describe Quinn?,regretful and hungry,self-disciplined and smart,anxiety-ridden and afraid,B
10019,Riley pulled over to safety because he heard a loud noise while driving.,What will Riley want to do next?,call their friend for assistance,ignore the noise,call AAA for assistance,C
10020,Taylor found Cameron's seats empty though Cameron clearly claimed to be in the seat and Taylor worried that the show would start soon.,What will Taylor want to do next?,leave the auditorium reasoning that Cameron left,make an announcement to the entire auditorium,walk around outside and look for Cameron,C
10021,Aubrey had been dealing with an addiction problem for years. Aubrey finally got quality treatment.,How would Aubrey feel afterwards?,youthful,motivated,pensive,B
10022,Alex earned a living working for Bailey and Bailey appreciated their employee.,What will Bailey want to do next?,tell Alex they do a good job,needed to ace the interview,needed to impress Bailey,A
10023,"Jan offered Jordan a piggy back ride in the pool, so Jordan found Jan's slick back.",How would Jordan feel afterwards?,annoyed,uncomfortable,entertained,C
10024,Austin had three children all of whom have become doctors.,What will Alex want to do next?,live life happy,mooch off of his children,make sure his children buy him things,A
10025,Alex's dog needed to go to the vet so she took the dog to the car.,How would Alex feel afterwards?,responsible,great,super,A
10026,"Skylar saw a movie that was quite good, and wants to see it again with friends at the theater.",What does Skylar need to do before this?,Buy an online copy of the movie,see the movie again next,Ask friends to come to the movie,C
10027,Casey rolled onto Taylor's back while they were play fighting on the floor.,Why did Casey do this?,play with Taylor,hurt Taylor,win the fight,A
10028,Cameron carried their weight even though they weren't supposed to lift too much.,What will happen to Cameron?,strain a muscle,be unharmed,bad that Cameron had to carry all the weight,A
10029,Kai and Austin had dated all through high school but were breaking up when they went to college.,What will Kai want to do next?,go to Austin's school,mourn the loss of kai,buy their own coat,A
10030,Robin played every day and got good enough to be accepted to a prestigious music school.,How would Robin feel afterwards?,good at music theory,like a loser,excited for school,C
10031,Aubrey baked too many cookies while trying many kinds of recipe. She had to eat cookies every night for a while.,Why did Aubrey do this?,collect too many recipes online,find too many recipes online,bake perfect cookies,B
10032,Jordan has been waiting for a video game release date for months. Jordan buys the game & goes home. Jordan rips open the packaging.,How would Jordan feel afterwards?,annoyed at waiting for it,ready to get playing the game,frustrated it cost so much,B
