,context,question,answerA,answerB,answerC,correct
15000,"Carson was never afraid of dogs.  Even though the animal was barking, he put his hand out to comfort it.",How would you describe Carson?,scared,deathly afraid of animals,one who cares about animals,C
15001,Taylor said Bailey should leave and then bailey left.,How would Taylor feel afterwards?,disliked,relieved,would fel sad,B
15002,Cameron asked Jan what had happened after he showed up home mad and crying.,What will Jan want to do after?,comfort Jan,yell at Jan,fight Jan,A
15003,Addison leaved the casino to go back to the hotel to sleep.,Why did Addison do this?,conflicted,proud,go to sleep,C
15004,Quinn made cookies for their friends after the football game.,How would Quinn feel as a result?,like a bad friend,like a good baker,like a bad baker,B
15005,Kai walked back from school. It was time to go home and relax.,Why did Kai do this?,It was Kai's habit,Watch some television,Play some video games,A
15006,Tracy told Jan to take hold. Jan knew she was in a bit of danger.,What will Jan want to do next?,get away,be careful,follow her own heart,B
15007,Jan accomplished their purpose by talking to the enemy leader and suing for peace.,What does Jan need to do before this?,make friends on the trip,schedule a meeting with the leader,win the war,B
15008,Carson was divorced from their wife after fifteen years.,Why did Carson do this?,wanted to sell books online,Find another wife,physical and wanted sex,B
15009,Sasha saved the mother's eggs so that they could be incubated in a farm.,What will Sasha want to do next?,put the eggs in an incubator,throw the eggs at the wall,smash the eggs with a hammer,A
15010,Cameron provided his professional services to families in need for a discounted price.,What does Cameron need to do before this?,needed to be wealthy,needed to know his trade,be charitble,C
15011,Addison turned quickly towards Alex after they had heard the shout.,What will happen to Addison?,see why Alex shouted,worth shouting about,be a good friend,A
15012,Jordan sought after and found themselves therapy to help out their issues.,What's going to happen with Others?,be mad that Jordan got help from therapy,support Jordan for themselves getting help with therapist,ignore Jordan for going to get therapy,B
15013,Austin boarded the train so he can travel a very long way.,Why did Austin do this?,meet different people all over,take a nap,sleep all the sites,A
15014,When Skylar got started eating pie she couldn't possibly stop.,How would Skylar feel afterwards?,felt full,a true lover of pie,"really, really liking pie",B
15015,Kendal saw Ash carrying a large box and opened the door for Ash.,What does Kendall need to do before this?,walk through the door,close the door,get in front of Ash,C
15016,Casey saw a shooting star while they were out camping one night.,How would Casey feel afterwards?,awestruck,sad,adventurous and curious,A
15017,Casey paid the cashier and took her bags outside to her car.,How would you describe Casey?,a busy mother,bored,indifferent,A
15018,Riley just finished eating dinner and took the dishes to the sink. Riley then washed their dishes.,What will Riley want to do next?,get the soap out to wash the dishes,dry them,asked to be excused from the table,B
15019,"Kai was not certain he heard Sasha, so softly repeated what had been said.",What will Kai want to do next?,climb the stairs,ask if he heard correctly,wash dishes,B
15020,Riley soaked the new clothes Taylor bought before they washed them to make sure they were clean.,What will Taylor want to do next?,For the clothes to be bought,be cautious,wear the new clothes,C
15021,Remy bought some new gloves and tried them on to see if they fit.,What will Remy want to do next?,use their gloves,buy a sled,buy a donkey,A
15022,"After much encouragement from friends, Alex spent more time with the people in the community.",What will happen to Alex?,make new neighbors,become well-traveled,be more sociable,C
15023,Taylor told Alex he was going on a trip and asked if he would like to join him.,What will Alex want to do next?,Ask their boss,laugh at Taylor next,decline the invitation next,C
15024,Remy prepared another cup of soup for their sick child with a fever.,How would you describe Remy?,spoiled,like a good parent,caring,B
15025,lee was wealthy and felt guilty so he gave a lot of money to charity.,How would Others feel as a result?,as ungrateful,as appreciative,as unappreciative,B
15026,Kendall always wanted to be an actor on television. Kendall got the lead role in the television show.,How would Kendall feel afterwards?,very anxious,very upset,very happy,C
15027,"Cameron was sick at school, and could barely stand up on their own, so Aubrey took Cameron home to rest.",How would you describe Aubrey?,dependable,a person who thinks of others,a person who prioritizes their own interests,B
15028,Alex wiped Remy's eye because she noticed her mascara was starting to smear.,What does Alex need to do before doing this?,kiss Remy,give them mascara,look at Remy,C
15029,"Casey had an allergy to dogs, and Jesse's dog affected Casey's health.",How would Casey feel as a result?,Sick,inconsiderate of Casey's health,negligent of Casey's health,A
15030,Carson got their friends together to share the great news.,Why did Carson do this?,did this to celebrate,celebrate with their friends,did this to mourn,B
15031,Addison loved chips too much as they were making him fat.,How would Addison feel afterwards?,fat and unhappy,quick and attractive,skinny and happy,A
15032,Casey was worried when the train started to shake but they made it to the stop and Casey got off safely.,What will Casey want to do next?,go see a doctor,get on the train,get a cab home,C
15033,"Because it is Sasha's favorite and an easy meal to make, Sasha ate toast bread every single morning.",How would you describe Sasha?,satisfied because she likes toast,a obsessed with bread,ready to start the day,A
15034,skylar was pregnant so she felt a wiggle in her hip.,How would you describe Skylar?,as weird,as uptight,as calm,C
15035,Kendall wanted to watch a movie so they went to the cinema and picked the latest release.,How would Kendall feel afterwards?,anxious,discontented,relaxed,C
