,context,question,answerA,answerB,answerC,correct
0,"A Casey sabia que o namorado deles era um grande fã de uma banda de rock famosa que vinha para a cidade em algumas semanas para um show, por isso a Casey surpreendeu o namorado com dois bilhetes.",Como se sentiriam os Outros?,tomadas como garantidas,desanimado,Agradecido,C
1,O Jesse criou a situação para que a Taylor pudesse ter sucesso.,Porque é que o Jesse fez isto?,Pensar o melhor sobre Taylor,Segue as instruções do Jesse.,Quero o melhor para a Taylor.,C
2,A Skylar seguiu-o por todo o lado porque gostava dele.,Como descreveria a Skylar?,Rejeitando-o,assertivo,Outros querem que a Skylar lhe diga que gosta dele.,B
3,A Jesse foi ao zoológico com a família e também arranjaram bilhetes para o espectáculo de orcas.,O que é que o Jesse precisa de fazer antes disto?,Queria mostrar às suas famílias as orcas.,Arranja bilhetes antes disto.,Diz que estás doente antes disto.,A
4,"O Jordan era uma pessoa cautelosa, por isso, ele testava as águas antes de saltar.",Porque é que a Jordan fez isto?,Analisar a situação,Aborreceu-se .,Proceda com cuidado.,C
5,"Lee estava jogando para seu país em uma partida de futebol. Antes do início do jogo, o hino nacional foi tocado e Lee ficou ombro a ombro com os jogadores da equipe.",Como descreveria o Lee?,Um lobo solitário,Um membro da equipa,Envergonhado.,B
6,"Casey se adapta aos gostos de Jan, já que Jan descobre quando eles começam a falar.",O que vai querer fazer o Casey a seguir?,Punch Jan,Peça ao Jan para sair.,ficar zangado com o Jan.,B
7,O Remy amava muito a Tracy e acabou por ficar louco a preocupar-se com algo que ia dar errado.,O que é que o Remy precisa de fazer antes disto?,ter um preconceito contra o pensamento,Ter uma relação com a Tracy,Entrar numa aula com a Tracy,B
8,A Bailey engravidou sem planear e decidiu abortar.,Como é que a Bailey se sentiria?,Agradecidos ao seu amigo,Estou entusiasmada por ser mãe.,Não tem cuidado.,C
9,"Jan comprou um sanduíche para almoço, mas ela o abandonou.",O que é necessário para Jan antes disso?,facultar uma desculpa para não comer o sanduíche,muda a cabeça dela sobre o sanduíche,Despacho de um quarto,C
10,"A Tracy convidou as pessoas para uma festa, mas ignorou muitas delas.",Como se sentiriam os Outros?,Está bem com isso primeiro.,"As pessoas não receberão uma notificação de que foram removidas, não receberão mensagens ou notificações futuras do evento e não aparecerá mais em seus eventos.",ferido,C
11,Sasha mostrou à filha do Kai como dançar como uma dançarina profissional.,O que é que o Sasha vai querer fazer a seguir?,Quero ajudar a filha do Kai.,Vai para a cama.,criar uma rotina,C
12,Tracy alterou o discurso adicionando um parágrafo ao final para encerrá-lo.,Como se sentiria a Tracy depois?,feliz com o discurso,zangado com o discurso,zangado com os outros.,A
13,Tracy seguiu o conselho de Jesse e se mudou para longe da aldeia.,O que é que a Tracy precisa de fazer antes disto?,Não faça nada.,Cuide dos negócios.,Ouve o Jesse outra vez.,B
14,A Tracy usava o skate como meio de transporte porque não têm carro.,O que é que a Tracy vai querer fazer a seguir?,- Não .,Compre um skateboard.,Encontrar-me com amigos,C
15,Addison obteve boas notas depois de estudar por semanas para se sair bem em suas finais.,Como se sentiria a Addison depois?,inútil,realizado,Terrível.,B
16,Sydney e Kendall estavam a discutir e Sydney puxou uma faca e a Sydney matou a Kendall instantaneamente quando ela a usou.,O que vai acontecer com a Sydney?,Morrer depois.,Ir para a prisão.,Morrer depois.,B
