,context,question,answerA,answerB,answerC,correct
0,"Carson nunca teve medo de cães, e apesar de o animal ladrar, ele estendeu a mão para o confortar.",Como descreveria o Carson?,assustado,Tem medo de animais .,Alguém que se importa com animais.,C
1,Taylor afirmou que Bailey deveria sair e depois ficar baile.,Como senti-lo-ia depois?,desagrado,alívio,sentir-se-ia triste,B
2,Cameron perguntou ao Jan o que tinha acontecido depois de ele aparecer em casa zangado e chorando.,O que vai o Jan querer fazer depois?,Conforto Jan,gritar com Jan.,luta Jan,A
3,A Addison saiu do casino para voltar ao hotel para dormir.,Porque é que a Addison fez isto?,conflitantes,orgulhoso,Vai dormir.,C
4,O Quinn fez bolachas para os amigos depois do jogo.,Como se sentiria o Quinn?,Como um mau amigo.,Como um bom padeiro.,Como um mau padeiro.,B
5,"Kai voltou da escola, era hora de ir para casa e relaxar.",Porque é que o Kai fez isto?,Era o hábito do Kai.,Vê televisão .,Jogar videojogos.,A
6,"A Tracy disse à Jan para se apoderar, a Jan sabia que estava em perigo.",O que Jan vai querer fazer a seguir?,Desaparecer,Tenha cuidado,Siga seu próprio coração,B
7,Jan alcançou seu propósito ao falar com o líder inimigo e pedir a paz.,O que é que a Jan precisa de fazer antes disto?,fazer amigos na viagem,Agendar uma reunião com o líder,Ganhar a guerra.,B
8,Carson se divorciou da esposa depois de quinze anos.,Porque fez o Carson isto?,Queria vender livros online.,Encontre outra mulher.,Sexo físico e sexual,B
9,Sasha salvou os óvulos da mãe para que pudessem ser incubados numa quinta.,O que é que o Sasha vai querer fazer a seguir?,Colocar os ovos numa incubadora,Atira os ovos à parede.,Esmagar os ovos com um martelo,A
10,Cameron ofereceu seus serviços profissionais a famílias necessitadas por um preço com desconto.,O que é que a Cameron precisa de fazer antes disto?,precisava de ser rico.,precisava de saber o seu ofício,ser caridoso,C
11,Addison virou-se rapidamente para Alex depois de terem ouvido o grito.,O que vai acontecer com a Addison?,Vê por que o Alex gritou,vale a pena gritar sobre,Seja um bom amigo.,A
