,context,question,answerA,answerB,answerC,correct
0,"Embora tivesse realizado trabalho doméstico para essa noite, Jesse ajudou o estudo de Skylar.",O que Jesse quer fazer em seguida?,Leia o serviço de casa para Skylar,Ajuda de acabamento Skylar,skip seus estudos,B
1,"Depois da escola, o Casey conheceu a amiga num bar para que pudessem estudar juntos para o exame final.",Porque fez o Casey isto?,ter uma boa ideia do material,brincar com um amigo,Bebam um copo e vão-se embora .,A
2,Jesse chegou rapidamente à mãe e a mãe lhes disse que eram bons.,Como Jesse se sentiria depois?,desperdícios,que são uma criança boa,que a mãe sempre os chama,B
3,"A Robin sabia que o Kai queria que ela gostasse da roupa dela, por isso quando o Kai perguntou a opinião dela, a Robin disse que ela adorava.",Porque é que a Robin fez isto?,Pagou-lhe para dizer que gostava.,Ela nunca gostou muito do Kai ou da moda dela .,Ela sabia que o Kai queria que a Robin gostasse da roupa .,C
4,Addison dormiu bem ontem à noite depois de jogar basebol durante várias horas.,Porque é que a Addison fez isto?,Recupera a sua energia.,bateu um home run,- Não .,A
5,O Quinn andou de bicicleta pela rua e parou numa geladeira.,O que quer o Quinn fazer a seguir?,Roubar um cone.,comprar um novo animal de estimação,Come um sorvete.,C
6,"A Kendall era uma boa pessoa, por isso cozinhou o pequeno almoço para a família do Riley.",O que vai acontecer ao Riley?,Ele vai odiar Kendall .,Ele vai ficar chateado com Kendall .,Ele vai agradecer ao Kendall .,C
7,Sasha decidiu concorrer à presidência do conselho estudantil.,Como se sentiria Sasha?,Confiante em Sasha,Que o Sasha vai correr bem.,confiante,C
8,"Alex fez uma festa em sua casa enquanto seus pais estavam fora da cidade, mesmo que eles lhe dissessem para não fazer.",O que vai acontecer aos pais do Alex?,Punir o Alex por ter feito uma festa.,- Não .,Tenho de limpar a confusão.,A
9,A Aubrey estava casada há 20 anos quando se divorciou.,Como é que o Aubrey se sentiria depois?,produtivos,energizado,Deprimido,C
10,Austin jogou um dos jogos mais populares do mundo e foi convidado para participar de uma competição.,O que é que o Austin vai querer fazer a seguir?,Deixa de jogar agora.,"A seguir, junte-se à competição.",Tornar-se hábil no jogo,B
