,context,question,answerA,answerB,answerC,correct
0,Austin disse à esposa Sasha no próximo baile que vai durar algumas horas.,O que Austin vai querer fazer a seguir?,Indiferente,Amado,Comunicar a situação de forma eficaz,C
1,"Alex enrolou as mangas, colocou um pano e abriu a lata de tinta.",O que é que o Alex vai querer fazer a seguir?,Pega num pincel e aplica tinta na parede,Pega num pincel e mergulha na tinta durante a noite,Arranja um pau e pinta a noite toda.,A
2,Quinn tirou os videojogos ao Jesse quando tinham de fazer os trabalhos de casa.,O que vai acontecer ao Quinn?,Ficar concentrado na tarefa,A fazer,Devolve os jogos.,C
3,"No artigo, Michigan deu ao leitor uma análise completa da perspectiva de Riley.",Como descreveria Michigan?,Um escritor que entrevistou Riley.,Conhecer os sentimentos dos outros,Alguém que se importa com os outros.,A
4,Lee agradeceu a Sydney por ajudá-los a encontrar um bom emprego.,Como é que o Lee se sentiria depois?,Sempre grato à Sydney .,"Felizes com o seu amigo,",Não é preciso retribuir o favor deles.,A
5,Sasha estava na aula e causou um pouco de problemas.,O que os Outros vão querer fazer a seguir?,Causa mais problemas.,Saiam da aula.,para Sasha aprender com o erro deles.,B
6,Addison segurou Tracy nos braços e eles pareciam felizes juntos.,O que vai acontecer com a Addison?,Fica com a Addison.,Casar-se,adormecer,C
7,Alex ligou para o médico para marcar uma consulta para o dia seguinte.,Porque é que a Alex fez isto?,Registre a consulta,- Fica bem.,Esqueça tudo .,B
8,Cameron cuidava de pessoas com necessidades especiais em um lar de idosos.,O que os Outros vão querer fazer a seguir?,Dar bons cuidados,egoísta,Treinar para ser enfermeira como a Cameron .,C
9,A Casey queria beber mais álcool porque estava chateada.,Como descreveria o Casey?,Calma .,Irresponsável.,Relaxado,B
10,"Quinn e Kendall passavam muito tempo sozinhos, Quinn nunca tinha conhecido os amigos da Kendall.",O que quer o Quinn fazer a seguir?,Conheça os amigos.,Peça à Kendall para partilhar,Andar sozinho.,A
11,O Austin fez a curva rapidamente.,O que é que o Austin precisa de fazer antes disto?,Não entrar num acidente.,Evite o carro.,precisava de falar com o professor dele.,B
12,"Remy deu a Addison uma oferta promocional no seu negócio de vendas, explicando que era uma boa oportunidade.",O que é que o Remy precisa de fazer antes disto?,Prepara um escritório para a Addison .,Pede à Addison alguns cartões de visita .,Preparar uma apresentação para mostrar a Addison,C
13,"Jordan levantou a questão de Taylor, pois precisavam conhecer a verdade.",O que a Jordânia deseja fazer a seguir?,ignorar a verdade,não faz nada,encontrar a verdade,C
14,A Jordan deu-lhes algo para fazer a dor de cabeça desaparecer.,O que é que a Jordan precisa de fazer antes disto?,encontrar remédios,Seja grato,comer remédio,A
15,Cameron virou-se no sofá quando ouviu o Remy entrar no quarto.,O que é que o Remy vai querer fazer a seguir?,Faz as pessoas pensarem que ele está a dormir.,- Não .,Ignora o Remy.,B
