,context,question,answerA,answerB,answerC,correct
0,"Durante um jogo de beisebol, vários jogadores estavam tentando pegar a bola de uma só vez, e nesse tempo, Kai quebrou o braço de Casey.",O que Kai vai querer fazer a seguir?,Chamar ajuda,Faça uma pausa,Ignorar tudo,A
1,Jan fez tudo o que eles podiam para ajudar a vida de Aubrey.,Por que o Jan fez isso?,"Assim, Aubrey poderia fazer bem",mais dinheiro,melhor,A
2,O Riley mudou as cores de todos os acessórios quando mudou de equipa de futebol.,O que é que a Riley precisa de fazer antes disto?,Veja as novas cores.,Compre acessórios novos.,Retirada do desporto,B
3,O Sasha queria lutar com o Aubrey para que ele não voltasse a aparecer na escola.,O que é que o Aubrey vai querer fazer a seguir?,Fique em casa.,comprar ovos,alugar um camião de leite,A
4,Kendall encontrou seu propósito na vida depois de assistir ao workshop.,O que é que a Kendall vai querer fazer a seguir?,Ser desviado,viver a sua vida com sentido,Esquece as lições.,B
5,Jesse saiu de casa da escola com Taylor para estudar o grande teste.,O que queremos por Taylor?,ir à escola,ir para casa,retirar todos os seus materiais de estudo,C
6,Cameron colocou a pequena árvore de Natal do lado de fora para que todos os seus amigos pudessem colocar seus ornamentos nela.,O que os amigos vão querer fazer a seguir?,decorar a árvore com seus ornamentos,Cobri-lo em papel higiênico,Corte a árvore para baixo,A
7,Sydney perdeu a oportunidade de um jantar quente feito por Robin quando continuaram a jogar.,O que vai querer fazer a seguir?,Para eles comerem.,definir um limite de tempo para os jogos,Para eles comprarem novos jogos.,B
8,A Riley olhou-os nos olhos e contou-lhes sobre a criatura debaixo da cama.,O que é que a Riley vai querer fazer a seguir?,Veja o que dizem.,assustar a criança na cama,fazer com que a criança tenha medo,B
9,A Addison perdeu a lista da mercearia e procurou por toda parte.,Como é que o Aubrey se sentiria depois?,descuidado,É triste que ela tenha ajudado.,orgulhosa de ter encontrado a lista.,A
10,Kendall impressionava o Remy como era importante ser honesto sobre tudo.,Como descreveria a Kendall?,Desiludido com o Remy.,Desagradável e indiferente.,maduro e compreensivo,C
11,Jesse desenvolveu um plano concreto e pensou nas possíveis opções.,Porque é que o Jesse fez isto?,Descobre as respostas no momento.,Coloca o plano em movimento,Venha preparado para a situação,C
12,Taylor disse à sua boa amiga que os amavam muito.,Como se sentiriam os Outros?,apaixonados,cansado,Deprimido,A
13,A Cameron jogava no telemóvel da Skylar e depois deixou-o cair na sanita.,Como é que a Skylar e a Cameron se vão sentir depois?,- Muito envergonhado .,Muito estúpido.,desanimado,B
14,A Riley salvou a vida do Jan e da amiga dele.,Como é que a Riley se sentiria depois?,O Riley salvou um gato.,O Riley salvou um cão.,Salvou a vida do Jan.,C
15,Austin impôs ao Kai as regras da prisão durante o primeiro dia de encarceramento.,O que acontecerá com o Kai?,chegue a biscoitos soltos de Kai,têm de aprender a seguir as regras,bully Kai,B
16,O Jordan estava no fundo da fila quando viu o Austin.,Como se sentiria Austin?,Envergonhado.,feliz,irritado,B
