,context,question,answerA,answerB,answerC,correct
0,"A Sydney era uma bruxa, por isso concentrou água nas mãos para praticar magia da água.",Porque é que a Sydney fez isto?,Beba a água.,Melhora as habilidades de magia da água.,"- Não, não.",B
1,O Remy perguntou à Taylor porque é que os bolinhos dela estavam a ficar gomosos.,O que vai acontecer com a Taylor?,Perguntou-se do que eles estavam a falar.,Diz ao Remy para fazer os bolinhos mais tempo.,Ignora a pergunta do Remy.,B
2,Sasha trabalha em dois empregos e está muito cansado no final do dia.,O que é que o Sasha vai querer fazer a seguir?,ser contratado por dois empregos diferentes,ir trabalhar por um dia inteiro de trabalho,Tirar o fim de semana para relaxar,C
3,"Alex fez uma lavagem ocular de Remy com um tecido, pois choravam por horas.",Como se sentiria Alex depois?,como se cuidam,compassivo e courteo,Como um incômodo,B
4,O Lee derramou refrigerante por todo o lado.,Como é que o Lee se sentiria depois?,Calma .,agitado,- Não.,B
5,Bailey guardou as roupas e limpou o quarto.,Como Bailey se sentiria depois?,arrumado próximo,preguiçoso depois,bagunçado depois,A
6,Skylar entrou no concurso porque o prémio principal era uma enorme recompensa em dinheiro que ele realmente precisava.,O que vai a Skylar querer fazer a seguir?,lugar baixo no concurso,Ganha o concurso.,Perder o concurso.,B
7,Robin lutou contra um inimigo que não os deixou ir.,O que vai acontecer ao Robin?,comprar um carro,Ganhar a luta.,alugar um carro,B
8,Sasha fez muitos amigos no acampamento de verão.,Como se sentiria Sasha depois?,Bem-vindo,isolado,Só,A
9,"O Cameron veio do nada, o sucesso dele foi ainda mais doce por causa disso.",Porque é que a Cameron fez isto?,ser um fracasso,Mereço-o .,Diz aos amigos dele.,B
10,O Austin estava a deixar o amor da sua vida em São Francisco.,Como é que o Austin se sentiria depois?,Muito orgulhoso.,Devastado por partir.,Muito triste .,B
11,Kendall estava tão frustrado que decidiu matar todas as formigas à vista.,O que os outros sentiriam depois?,uma pessoa má,uma pessoa desagradável,como Kendall exagerou matando as formigas,C
12,A Bailey estava a conduzir e pararam em frente da Riley.,Como descreveria a Bailey?,nervoso,Um trabalhador duro.,um bêbado,A
13,A Sydney tinha ordenado ao Austin que limpasse o quarto antes de voltar.,O que é que o Austin vai fazer a seguir?,Desobedecer Sydney,Ela vai ficar louca.,Limpa o quarto.,C
14,A Tracy tinha de fazer os exames de graduação no sábado e passou a semana inteira a estudar.,Porque é que a Tracy fez isto?,Queria entrar numa boa faculdade.,Compra livros.,Estudo,A
15,Jesse trouxe o ato ao fim do espetáculo.,O que é que o Jesse precisa de fazer antes disto?,Vai à piscina antes disto.,Deixe a escola antes disto.,Começar a apresentação antes disto,C
16,Lee adormeceu no carro enquanto seu amigo estava dirigindo.,Como você descreveria Lee?,sonolento,desperto,engraçado,A
17,Bailey julgou a falta de justiça por aquele homem e então percebeu que ele o havia julgado mal.,Como Bailey se sentiria depois?,Justo depois,Orgulhoso depois,Lamentável depois,C
