,context_1,context_2,context_3,question_1,question_2,question_3,answerA_1,answerA_2,answerA_3,answerB_1,answerB_2,answerB_3,answerC_1,answerC_2,answerC_3,correct
30000,"Durante um jogo de beisebol, vários jogadores estavam tentando pegar a bola de uma só vez, e nesse tempo, Kai quebrou o braço de Casey.","Durante um jogo de basquete, vários jogadores estavam tentando pegar a bola uma vez, e nesse momento","Durante um jogo de beisebol, vários jogadores estavam tentando pegar a bola ao mesmo tempo, e nesse tempo, Kai quebrou o braço do Casey.",O que Kai vai querer fazer a seguir?,O que o Kai quer fazer em seguida?,O que vai o Kai querer fazer a seguir?,Chamar ajuda,pedido de ajuda,Chamar ajuda,Faça uma pausa,au,- Não .,Ignorar tudo,ignorar todos,Ignora tudo .,A
30001,Jan fez tudo o que podia para ajudar a vida de Aubrey.,Jan fez tudo o que eles podiam para ajudar a vida de Aubrey.,A Jan fez tudo o que pôde para salvar a vida do Aubrey.,Por que Jan fez isso?,Por que o Jan fez isso?,Porque é que o Jan fez isto?,Então Aubrey poderia fazer bem,"Assim, Aubrey poderia fazer bem",Para que o Aubrey pudesse fazer bem.,Ganhe mais dinheiro,mais dinheiro,ganhar mais dinheiro,ficar melhor,melhor,"- Sim , sim .",A
30002,Riley mudou as cores de todos os seus acessórios quando mudou de time de futebol.,Riley alterou as cores de todos os seus acessórios quando mudou as equipes de futebol.,O Riley mudou as cores de todos os acessórios quando mudou de equipa de futebol.,O que Riley precisa fazer antes disso?,O que é necessário para que Riley possa fazer antes disso?,O que é que a Riley precisa de fazer antes disto?,Veja as novas cores,ver as novas cores,Veja as novas cores.,obter novos acessórios,obter novos acessórios,Compre acessórios novos.,Aposentar-se do esporte,aposentadoria do esporte,Retirada do desporto,B
30003,Sasha queria lutar com Aubrey para que Aubrey não aparecesse na escola novamente.,"Sasha queria lutar contra Aubrey, de modo que Aubrey não voltou a aparecer",O Sasha queria lutar com o Aubrey para que ele não voltasse a aparecer na escola.,O que Aubrey vai querer fazer a seguir?,O que queremos com Aubrey?,O que é que o Aubrey vai querer fazer a seguir?,ficar em casa,permanência em casa,Fique em casa.,comprar ovos,compra de ovos,comprar ovos,Alugar um caminhão de leite,aluguer de um caminhão de leite,alugar um camião de leite,A
30004,Kendall encontrou seu propósito na vida depois de participar do workshop.,Kendall encontrou sua finalidade na vida após participar da oficina.,Kendall encontrou seu propósito na vida depois de assistir ao workshop.,O que Kendall vai querer fazer a seguir?,O que queremos por Kendall?,O que é que a Kendall vai querer fazer a seguir?,Desencaminhar-se,Ser conduzido astray,Ser desviado,Viva sua vida com significado,viver sua vida com sentido,viver a sua vida com sentido,Esqueça as lições,Esquecimento das lições,Esquece as lições.,B
30005,Jesse foi para casa da escola com Taylor para que eles pudessem estudar para o grande teste.,Jesse saiu de casa da escola com Taylor para estudar o grande teste.,O Jesse foi para casa da escola com a Taylor para que pudessem estudar para o grande teste.,O que Taylor vai querer fazer a seguir?,O que queremos por Taylor?,O que é que a Taylor vai querer fazer a seguir?,ir para a escola,ir à escola,ir para a escola,ir para casa,ir para casa,Vai para casa.,obter todos os seus materiais de estudo para fora,retirar todos os seus materiais de estudo,Tirem todos os materiais de estudo,C
30006,Cameron colocou a pequena árvore de Natal do lado de fora para que todos os seus amigos pudessem colocar seus ornamentos nela.,Cameron colocou a árvore de Natal pequena fora para que todos os amigos pudessem colocar seus enfeites,Cameron colocou a pequena árvore de Natal lá fora para que todos os amigos pudessem colocar os seus ornamentos nela.,O que os amigos vão querer fazer a seguir?,O que os amigos querem fazer a seguir?,O que os amigos vão querer fazer a seguir?,decorar a árvore com seus ornamentos,decorar a árvore com seus enfeites,Decoram a árvore com seus ornamentos.,Cobri-lo em papel higiênico,cobrir o pano de pano,cobri-lo com papel higiénico,Corte a árvore para baixo,corte a árvore para baixo,Cortem a árvore .,A
30007,Sydney perdeu a oportunidade para um jantar quente preparado por Robin quando eles continuaram jogando seus jogos.,Sydney perdeu a oportunidade de um jantar quente cozinhado por Robin quando mantinham a brincadeira.,Sydney perdeu a oportunidade de um jantar quente feito por Robin quando continuaram a jogar.,O que Robin vai querer fazer a seguir?,O que queremos por Robin?,O que vai querer fazer a seguir?,Para que eles comam,Para comer,Para eles comerem.,Definir um limite de tempo para jogos,ajustamento do limite de tempo para os jogos,definir um limite de tempo para os jogos,Para eles comprarem novos jogos,Para que comprem novos jogos,Para eles comprarem novos jogos.,B
30008,Riley olhou-os diretamente nos olhos e contou-lhes sobre a criatura debaixo da cama.,Riley os olhou em pé e lhes disse sobre a criatura debaixo do leito.,A Riley olhou-os nos olhos e contou-lhes sobre a criatura debaixo da cama.,O que Riley vai querer fazer a seguir?,O que queremos com Riley?,O que é que a Riley vai querer fazer a seguir?,Veja o que eles dizem,ver o que eles dizem,Veja o que dizem.,Assustar a criança na cama,prurido na criança no leito,assustar a criança na cama,Deixe a criança com medo,a criança tem medo,fazer com que a criança tenha medo,B
30009,Addison perdeu sua lista para o supermercado e procurou por toda parte.,Addison perdeu sua lista para a loja do mercearia e procurou tudo o que a,A Addison perdeu a lista da mercearia e procurou por toda parte.,Como Aubrey se sentiria depois?,Como se sentiria Aubrey depois?,Como é que o Aubrey se sentiria depois?,descuidada,carlosidade,descuidado,Triste ela ajudou,triste ela ajudou,É triste que ela tenha ajudado.,Orgulhosa por ter encontrado a lista,orgulhava-se por encontrar a lista,orgulhosa de ter encontrado a lista.,A
