,context_1,context_2,context_3,question_1,question_2,question_3,answerA_1,answerA_2,answerA_3,answerB_1,answerB_2,answerB_3,answerC_1,answerC_2,answerC_3,correct
10000,Austin disse à esposa Sasha no próximo baile que vai durar algumas horas.,Austin contou à esposa de Sasha sobre a prom que vai passar algumas horas.,O Austin disse à mulher do Sasha no próximo baile que vai durar algumas horas.,O que Austin vai querer fazer a seguir?,O que queremos por Austin?,O que é que o Austin vai querer fazer a seguir?,Indiferente,indiferente,indiferente,Amado,amado,Amado,Comunicar a situação de forma eficaz,comunicar a situação de forma eficaz,comunicar a situação de forma eficaz,C
10001,"Alex enrolou as mangas, colocou um pano e abriu a lata de tinta.","Alex fez a laminar, fez um pano de gota e abriu a lata de tinta","Alex enrolou as mangas, colocou um pano e abriu a lata de tinta.",O que Alex vai querer fazer a seguir?,O que queremos com Alex?,O que é que o Alex vai querer fazer a seguir?,pegue uma escova e aplique tinta na parede,escovação e aplique a tinta na parede.,Pega num pincel e aplica tinta na parede,obter um pincel e mergulhe-o na tinta durante a noite,escovação e embebição na tinta durante a noite.,Pega num pincel e mergulha na tinta durante a noite,Pegue um pau e pinte a noite toda,Pegue um copo e pine toda a noite,Arranja um pau e pinta a noite toda.,A
10002,Quinn levou os videogames para longe de Jesse quando eles tiveram que fazer seus trabalhos de casa.,Quinn tirou os videogames de Jesse quando tiveram que fazer sua tarefa doméstica.,Quinn tirou os videojogos ao Jesse quando tinham de fazer os trabalhos de casa.,O que vai acontecer com Quinn?,O que acontecerá com Quinn?,O que vai acontecer ao Quinn?,Manter-se na tarefa,permanência na tarefa,Ficar concentrado na tarefa,ficando feito,au,A fazer,Devolver os jogos,devolver os jogos,Devolve os jogos.,C
10003,"Em seu artigo, Michigan deu ao leitor uma análise completa da perspectiva de Riley.","Em seu artigo, Michigan deu ao leitor uma análise minuciosa da perspectiva de Riley.","No artigo, Michigan deu ao leitor uma análise completa da perspectiva de Riley.",Como você descreveria Michigan?,Como descreveria Michigan?,Como descreveria Michigan?,um escritor que entrevistou Riley,um escritor que tenha entrevistado Riley,Um escritor que entrevistou Riley.,Conheça os sentimentos dos outros,conhecer outros sentimentos das pessoas,Conhecer os sentimentos dos outros,Alguém que se preocupa com os outros,Quem cuida dos outros,Alguém que se importa com os outros.,A
10004,Lee expressou apreço por Sydney. Sydney ajudou-os a encontrar um bom emprego.,"Lee expressou a sua apreciação em Sydney, Sydney ajudou-os a encontrar um bom emprego.",Lee agradeceu a Sydney por ajudá-los a encontrar um bom emprego.,Como Lee se sentiria depois?,Como Lee sentiria depois?,Como é que o Lee se sentiria depois?,Agradecimentos a Sydney,sempre agradecida a Sydney,Sempre grato à Sydney .,Satisfeito com seu amigo,satisfeito com a amizade,"Felizes com o seu amigo,",Não há necessidade de retribuir seu favor,Não precisar devolvê-los,Não é preciso retribuir o favor deles.,A
10005,Sasha estava na aula e causou um pouco de problemas.,Sasha estava em classe e causou um pouco de dificuldade.,Sasha estava na aula e causou um pouco de problemas.,O que os outros vão querer fazer a seguir?,O que queremos?,O que os Outros vão querer fazer a seguir?,Causar mais problemas,Causa mais problemas,Causa mais problemas.,Sair da aula,Classe de folhas,Saiam da aula.,para Sasha aprender com seu erro,Para Sasha aprender a partir do seu erro,para Sasha aprender com o erro deles.,B
10006,Addison segurou Tracy em seus braços. Eles pareciam contentes e felizes juntos.,"Addison mantinha Tracy nos braços, pareciam contento e feliz junto.",Addison segurou Tracy nos braços e eles pareciam felizes juntos.,O que vai acontecer com Addison?,O que acontecerá com Addison?,O que vai acontecer com a Addison?,Fique com Addison,estada com Addison,Fica com a Addison.,casar-se,casar- se,Casar-se,adormecer,queda de sono,adormecer,C
10007,Alex chamou o médico para marcar uma consulta para o dia seguinte.,Alex chamou o médico para fazer uma consulta no dia seguinte.,Alex ligou para o médico para marcar uma consulta para o dia seguinte.,Porque é que o Alex fez isto?,Por que o Alex fez isso?,Porque é que a Alex fez isto?,Registrar a nomeação,registo da consulta,Registre a consulta,ficar bem,án,- Fica bem.,Esquecer tudo,esquecimento de tudo,Esqueça tudo .,B
10008,Cameron prestou cuidados a indivíduos com necessidades especiais em uma casa de repouso.,Cameron prestou atendimento a indivíduos com necessidades especiais em uma casa de cuidados.,Cameron cuidava de pessoas com necessidades especiais em um lar de idosos.,O que os outros vão querer fazer a seguir?,O que queremos?,O que os Outros vão querer fazer a seguir?,Dê um bom cuidado,dar bons cuidados,Dar bons cuidados,egoísta,esclerite,egoísta,Treinar para se tornar uma enfermeira como Cameron,Formação para se tornar enfermeira como Cameron,Treinar para ser enfermeira como a Cameron .,C
10009,A Casey queria mais álcool porque estava chateada.,Casey queria mais beber álcool porque estava irritada.,A Casey queria beber mais álcool porque estava chateada.,Como você descreveria Casey?,Como descreveria Casey?,Como descreveria o Casey?,Acalme-se,calm,Calma .,irresponsáveis,responsabilidade,Irresponsável.,Deitado para trás,reexpressa,Relaxado,B
