,context_1,context_2,context_3,question_1,question_2,question_3,answerA_1,answerA_2,answerA_3,answerB_1,answerB_2,answerB_3,answerC_1,answerC_2,answerC_3,correct
25000,"Casey sabia que seu namorado era um grande fã de uma famosa banda de rock que estava vindo para a cidade em algumas semanas para um show, então Casey surpreendeu seu namorado com dois ingressos.",Casey conhecia o namorado dele era um grande fantomante de uma famosa banda de pedra que,"A Casey sabia que o namorado deles era um grande fã de uma banda de rock famosa que vinha para a cidade em algumas semanas para um show, por isso a Casey surpreendeu o namorado com dois bilhetes.",Como os outros se sentiriam como resultado?,Como os outros se sentiriam como resultado?,Como se sentiriam os Outros?,tomadas como garantidas,tomados em consideração,tomadas como garantidas,Perturbado,tonturas,desanimado,Gratidão,gratidão,Agradecido,C
25001,Jesse criou a situação para Taylor ser capaz de ter sucesso.,Jesse criou a situação para Taylor conseguir obter sucesso.,O Jesse criou a situação para que a Taylor pudesse ter sucesso.,Porque é que o Jesse fez isto?,Por que Jesse fez isso?,Porque é que o Jesse fez isto?,Pense o melhor sobre Taylor,pensar o melhor sobre Taylor,Pensar o melhor sobre Taylor,Siga as instruções de Jesse,seguir as orientações de Jesse,Segue as instruções do Jesse.,Quer o melhor para Taylor,quer o melhor para Taylor,Quero o melhor para a Taylor.,C
25002,Skylar o seguiu em todos os lugares porque ela gostava dele.,"Skylar o acompanhou em todas as suas partes, porque gostava dele.",A Skylar seguiu-o por todo o lado porque gostava dele.,Como você descreveria o Skylar?,Como descreveria o Skylar?,Como descreveria a Skylar?,Rejeitando-o,indeferido de si,Rejeitando-o,assertivo,assertiva,assertivo,Outros gostariam que Skylar apenas dissesse que ela gosta dele,Outros queriam que Skylar só lhe contasse que gosta,Outros querem que a Skylar lhe diga que gosta dele.,B
25003,Jesse foi ao zoológico com sua família e eles também receberam ingressos para o show de orcas.,Jesse foi ao zoológico com a família e eles também conseguiram bilhetes para a órca.,A Jesse foi ao zoológico com a família e também arranjaram bilhetes para o espectáculo de orcas.,O que Jesse precisa fazer antes disso?,O que é necessário para Jesse antes disso?,O que é que o Jesse precisa de fazer antes disto?,queria mostrar a sua família as orcas,quis mostrar a sua família as orcas,Queria mostrar às suas famílias as orcas.,Compre ingressos antes disso,cheque de bilhetes antes de,Arranja bilhetes antes disto.,Chamar doente antes disso,Atenção à doença antes deste,Diz que estás doente antes disto.,A
25004,"Jordan era uma pessoa cautelosa, então ele testou as águas antes de pular.","jordan foi uma pessoa cautelosa, assim testou as águas antes de pul","O Jordan era uma pessoa cautelosa, por isso, ele testava as águas antes de saltar.",Por que Jordan fez isso?,Por que a Jordânia fez isso?,Porque é que a Jordan fez isto?,Levantar a situação,levantamento da situação,Analisar a situação,Enterre-se a si mesmo,bore si,Aborreceu-se .,Proceda com cautela,-,Proceda com cuidado.,C
25005,"Lee estava jogando por seu país em uma partida de futebol. Antes do início da partida, o hino nacional foi tocado e Lee ficou ombro a ombro com os jogadores da equipe.","Lee jogava para o seu país em uma partida de futebol, antes do início da partida, o","Lee estava jogando para seu país em uma partida de futebol. Antes do início do jogo, o hino nacional foi tocado e Lee ficou ombro a ombro com os jogadores da equipe.",Como você descreveria Lee?,Como descreveria Lee?,Como descreveria o Lee?,Um lobo solitário,Um lobo solitário,Um lobo solitário,Um membro da equipe,Membro da equipa,Um membro da equipa,Envergonhada,Constrangido,Envergonhado.,B
25006,Casey combina com os gostos de Jan quando Jan descobre quando eles começam a falar.,Casey se adequa aos gostos de Jan como Jan descobre quando começam a falar.,"Casey se adapta aos gostos de Jan, já que Jan descobre quando eles começam a falar.",O que Casey vai querer fazer a seguir?,O que queremos com Casey?,O que vai querer fazer o Casey a seguir?,ponche Jan,Colch Jan,Punch Jan,perguntar a Jan em uma data,Peçar a Jan em data,Peça ao Jan para sair.,Enfurece-se com Jan,náusea em Jan,ficar zangado com o Jan.,B
25007,"Remy ama muito Tracy, e acabou ficando louca se preocupando com algo errado.","Remi amo muito Tracy, e acabou ficando louco preocupado com algo errado.",O Remy amava muito a Tracy e acabou por ficar louco a preocupar-se com algo que ia dar errado.,O que Remy precisa fazer antes disso?,O que é necessário fazer por Remy antes disso?,O que é que o Remy precisa de fazer antes disto?,Tenha um viés contra o pensamento,têm um viés contra o pensamento,ter um preconceito contra o pensamento,Entre em um relacionamento com Tracy,.,Ter uma relação com a Tracy,entrar em uma aula com Tracy,entrar em uma turma com Tracy,Entrar numa aula com a Tracy,B
25008,Bailey ficou grávida sem planejar e decidiu fazer um aborto.,Bailey engravidou sem planejamento e decidiu fazer aborto.,A Bailey engravidou sem planear e decidiu abortar.,Como Bailey se sentiria como resultado?,Como seria que Bailey sentisse como resultado?,Como é que a Bailey se sentiria?,Agradecimentos ao seu amigo,agradecimentos aos amigos,Agradecidos ao seu amigo,empolgada para ser mãe,excitado para ser mãe,Estou entusiasmada por ser mãe.,não cuidado,Não cautelosa,Não tem cuidado.,C
25009,"Jan comprou um sanduíche para o almoço, mas ela o deixou cair.","Jan comprou um sanduíche para almoço, mas ela o abandonou.","Jan comprou uma sanduíche para o almoço, mas ela a deixou cair.",O que Jan precisa fazer antes disso?,O que é necessário para Jan antes disso?,O que é que a Jan precisa de fazer antes disto?,Faça uma desculpa para não comer o sanduíche,facultar uma desculpa para não comer o sanduíche,- Não . - Não .,Mude sua opinião sobre o sanduíche,muda a cabeça dela sobre o sanduíche,mudar de ideias sobre a sanduíche.,Encomende um quarter pounder,Despacho de um quarto,Pede um quarto de libra .,C
25010,"Tracy convidou as pessoas para uma festa, mas ignorou muitas delas.","Tracy convidou as pessoas para uma festa, mas ignorava muito elas.","A Tracy convidou as pessoas para uma festa, mas ignorou muitas delas.",Como os outros se sentiriam como resultado?,Como os outros se sentiriam como resultado?,Como se sentiriam os Outros?,Tudo bem com isso primeiro,"né, primeiro",Está bem com isso primeiro.,As pessoas não receberão uma notificação de que foram removidas. Eles não receberão futuras mensagens ou notificações do evento e não aparecerão mais em seus eventos,"As pessoas não recebem uma notificação de que foram retiradas, não recebem mensagens futuras ou no","As pessoas não receberão uma notificação de que foram removidas, não receberão mensagens ou notificações futuras do evento e não aparecerá mais em seus eventos.",lesionado,náuseas,ferido,C
25011,Sasha mostrou à filha de Kai como dançar como uma dançarina profissional.,Sasha mostrou como dançar a filha de Kai como um profissional.,Sasha mostrou à filha do Kai como dançar como uma dançarina profissional.,O que Sasha vai querer fazer a seguir?,O que queremos com Sasha?,O que é que o Sasha vai querer fazer a seguir?,quer ajudar a filha de kai,quer ajudar a filha do kai,Quero ajudar a filha do Kai.,ir para a cama,ir ao leito,Vai para a cama.,Crie uma rotina,criar uma rotina,criar uma rotina,C
25012,Tracy alterou o discurso adicionando um parágrafo ao final dele para embrulhar tudo.,Tracy alterou o discurso adicionando um parágrafo ao final do mesmo para envoltá-lo a todo,Tracy alterou o discurso adicionando um parágrafo ao final para encerrá-lo.,Como Tracy se sentiria depois?,Como o Tracy se sentiria depois?,Como se sentiria a Tracy depois?,feliz com o discurso,feliz com o discurso,feliz com o discurso,Irritado com o discurso,ânimo com o discurso,zangado com o discurso,Louco com os outros,náuseas,zangado com os outros.,A
25013,Tracy manteve o conselho de Jesse e se afastou da aldeia.,Tracy mantinha o conselho de Jesse e se afastava da aldeia.,Tracy seguiu o conselho de Jesse e se mudou para longe da aldeia.,O que Tracy precisa fazer antes disso?,O que é necessário para Tracy antes disso?,O que é que a Tracy precisa de fazer antes disto?,não fazer nada,não faça nada,Não faça nada.,cuidar dos negócios,cuidar de empresas,Cuide dos negócios.,Ouça o Jesse de novo,escutar Jesse novamente,Ouve o Jesse outra vez.,B
25014,Tracy usou seu skate como meio de transporte porque eles não têm um carro.,"Tracy utilizou sua lousa como meio de transporte, pois não possui carro.",A Tracy usava o skate como meio de transporte porque não têm carro.,O que Tracy vai querer fazer a seguir?,O que queremos agora por Tracy?,O que é que a Tracy vai querer fazer a seguir?,ficar sozinho,estar sozinho,- Não .,Compre um skate,Compra de uma lousa,Compre um skateboard.,Encontre-se com amigos,Encontro com amigos,Encontrar-me com amigos,C
