,context_1,context_2,context_3,question_1,question_2,question_3,answerA_1,answerA_2,answerA_3,answerB_1,answerB_2,answerB_3,answerC_1,answerC_2,answerC_3,correct
20000,"Percebendo que ele estava sendo arrogante, Jan deu espaço a Bailey.","Percebendo que estava se sobrepondo a um rude, Jan deu espaço de Bailey.","Percebendo que ele estava sendo arrogante e rude, Jan deu espaço ao Bailey.",O que Jan precisa fazer antes disso?,O que é necessário para Jan antes disso?,O que é que a Jan precisa de fazer antes disto?,Necessário ser despreocupado,necessitou ser cuidado,precisava de ser despreocupado,dar a Bailey algum espaço,dar a Bailey um espaço,Dá espaço à Bailey.,Necessário para perceber Bailey estava chateado,Necessitou de perceber Bailey,Precisava de perceber que a Bailey estava chateada.,C
20001,"Era hora de comprar mantimentos, então Sasha levou a família às compras.","Foi o momento de chegar aos restaurantes, assim Sasha fez as compras familiares.","Era hora de comprar mantimentos, por isso a Sasha levou a família às compras.",O que os outros vão querer fazer a seguir?,O que queremos?,O que os Outros vão querer fazer a seguir?,Seja produtivo,ser produtivo,ser produtivo,Qualquer coisa para comer,qualquer coisa que coma,qualquer coisa para comer,Ajuda com a obtenção de mantimentos,Ajuda na obtenção dos mercados,ajuda a fazer as compras,C
20002,"Querendo fazer sorvete caseiro, Kendall colocou a máquina em operação.","Quer fazer sorvete caseiro, Kendall colocou a máquina em funcionamento.","Querendo fazer sorvete caseiro, Kendall colocou a máquina em funcionamento.",O que Kendall vai querer fazer a seguir?,O que queremos por Kendall?,O que é que a Kendall vai querer fazer a seguir?,fazer sorvete,esfregaço,fazer sorvete,obter leite,leite,- Traz leite .,comer sorvete,come sorvete,comer sorvete,A
20003,Robin comprou um telefone novo e ele quebrou logo depois que ela conseguiu.,Robin comprou um novo telefone e ele quebrou logo após o ter conseguido.,A Robin comprou um telefone novo e partiu logo depois de o ter.,Como Robin se sentiria depois?,Como se sentiria Robin depois?,Como é que a Robin se sentiria depois?,deprimido,depressão,Deprimido,cumpridas,> 1/ 10,cumprido,excitado,excitação,excitado,A
20004,Carson passou algum tempo ouvindo quando ninguém mais o amava e todas as crianças o amavam.,O cara passou a ouvir quando ninguém mais o faria e todas as crianças o amavam.,O Carson passava tempo a ouvir quando mais ninguém o fazia e todos os miúdos adoravam-no.,Como você descreveria Carson?,Como descreveria Carson?,Como descreveria o Carson?,uma pessoa cruel,uma pessoa cruel,uma pessoa cruel,uma pessoa amorosa,uma pessoa queridora,uma pessoa amorosa,Apenas pensando em si mesmo,só pensar de si,Só pensa em si mesmo.,B
20005,"Robin superou sua vergonha e medo, e levou a acusação a julgamento.","Robin superou sua vergonha e medo, e trouxe a acusação para julgamento.","Robin superou a sua vergonha e medo, e levou a acusação a julgamento.",Como Robin se sentiria depois?,Como se sentiria Robin depois?,Como é que a Robin se sentiria depois?,Sentia-se como se tivesse sido uma perda de tempo,sentir-se assim que foi um desperdício de tempo,Senti que tinha sido uma perda de tempo .,Sentiu-se culpado,Sentido culpa,senti-me culpado,Sentia-se orgulhosa de si mesma,Sentiu-se orgulho de si,sentia-se orgulhosa de si mesma.,C
20006,"Carson puxou a chave do bolso de Jordan mais cedo, o que o fez ficar trancado fora de casa.","Carson retirou a chave do bolso da Jordânia mais cedo, o que o fez sair de casa","O Carson tirou a chave do bolso do Jordan, o que o fez ficar trancado fora da casa.",O que Jordan vai querer fazer a seguir?,O que a Jordânia deseja fazer a seguir?,O que vai querer fazer a seguir?,Saiba onde estava a chave,saber onde a chave foi,Sabia onde estava a chave.,Guarde a chave de lado,Coloque a chave,Guarda a chave.,Suba pela janela,subir através da janela,Entra pela janela .,B
20007,Riley atingiu o medo nos corações dos aldeões quando ela anunciou que suas forças iriam queimar todas as casas que abrigavam fugitivos.,Riley agregou o medo nos corações dos aldeados quando anunciava que suas,Riley incutiu medo nos corações dos aldeões quando anunciou que as suas forças iriam queimar todas as casas que abrigassem fugitivos.,Porque é que a Riley fez isto?,Por que o Riley fez isso?,Porque é que a Riley fez isto?,Impressionar o general do seu exército,impressiono o general de seu exército,Impressionar o general do seu exército .,Fuja da aldeia,vá embora da aldeia,Fugir da aldeia,Acalme os aldeões,calar os aldeados,Acalma os aldeões .,A
20008,"Bailey estava com medo de se mudar, então Riley manteve contato com Bailey o tempo todo.","Bailey tinha medo de se mover, então Riley manteve o contato com Bailey em todo o tempo","A Bailey tinha medo de se mudar, por isso a Riley manteve-se em contacto com a Bailey o tempo todo.",Como Bailey se sentiria como resultado?,Como seria que Bailey sentisse como resultado?,Como é que a Bailey se sentiria?,aliviado,alívio,- Desligado.,Preocupado com o bem-estar de Bailey,preocupado com o bem-estar de Bailey,preocupado com o bem-estar da Bailey,um amigo gentil para cuidar de Bailey,uma amiga de carinho para cuidar de Bailey,Um amigo por se preocupar com a Bailey.,A
20009,Remy não fazia mais comida em casa depois de quase queimar sua cozinha fazendo macarrão.,Remy não fez comida em casa depois de quase queimar a cozinha cozinhar.,A Remy já não cozinhava mais em casa depois de quase ter queimado a cozinha a fazer massas.,Por que Remy fez isso?,Por que a Remy fez isso?,Porque é que o Remy fez isto?,Evite o perigo do fogo,Evite riscos de incêndio,evitar o perigo de incêndio,comer fora,comer fora,comer fora,Ignorar suas breves idas,ignorar seus pequenos acontecimentos,Ignora as falhas dela.,A
20010,Robert estava se candidatando à escola de enfermagem e pediu a Lee uma carta de recomendação.,Robert estava aplicando a escola de enfermagem e solicitou a Lee uma carta de recomendação.,O Robert estava a candidatar-se à escola de enfermagem e pediu à Lee uma carta de recomendação.,O que Robert precisava fazer antes disso?,O que o Robert precisou antes disso?,O que é que o Robert precisava de fazer antes disto?,Acabar de ir para a faculdade de medicina,terminar indo para a faculdade de medicina,Acabar de ir para a faculdade de medicina,fazer um bom trabalho para Lee para impressioná-los,fazer bons trabalhos para Lee para impressioná-los,Faça um bom trabalho para Lee impressioná-los .,quer um também,quer um também,Também quero um.,B
