,context_1,context_2,context_3,question_1,question_2,question_3,answerA_1,answerA_2,answerA_3,answerB_1,answerB_2,answerB_3,answerC_1,answerC_2,answerC_3,correct
15000,"Carson nunca teve medo de cães. Mesmo que o animal estava latindo, ele estendeu a mão para confortá-lo.","O homem nunca tinha medo de cachorro, mas, mesmo desabafando, ele colocou","Carson nunca teve medo de cães, e apesar de o animal ladrar, ele estendeu a mão para o confortar.",Como você descreveria Carson?,Como descreveria Carson?,Como descreveria o Carson?,Assustado,prurido,assustado,Medo mortal dos animais,com medo de morte dos animais,Tem medo de animais .,Quem se importa com os animais,um que cuida dos animais,Alguém que se importa com animais.,C
15001,O Taylor disse que a Bailey devia ir embora e depois o Bailey foi-se embora.,Taylor afirmou que Bailey deveria sair e depois ficar baile.,A Taylor disse que a Bailey devia ir embora e depois a Bailey foi embora.,Como Taylor se sentiria depois?,Como senti-lo-ia depois?,Como é que a Taylor se sentiria depois?,desgostoso,desagrado,não gostam,aliviado,alívio,- Desligado.,seria fel triste,sentir-se-ia triste,Ficaria triste.,B
15002,Cameron perguntou a Jan o que tinha acontecido depois que ele apareceu em casa louco e chorando.,Cameron perguntou a Jano o que já havia acontecido após mostrar-se louco e chorando em,Cameron perguntou ao Jan o que tinha acontecido depois de ele aparecer em casa zangado e chorando.,O que Jan vai querer fazer depois?,O que vai Jan querer depois?,O que vai o Jan querer fazer depois?,conforto Jan,Conforto Jan,Conforto Jan,Gritar com Jan,cheiro em Janeiro,gritar com Jan.,Lutar Jan,Luta Jan,luta Jan,A
15003,Addison deixou o cassino para voltar ao hotel para dormir.,Addison saiu do casino para voltar ao hotel para dormir.,A Addison saiu do casino para voltar ao hotel para dormir.,Porque é que a Addison fez isto?,Por que o Addison fez isso?,Porque é que a Addison fez isto?,conflituosos,Controle,conflitantes,Orgulha-te,orgulha,orgulhoso,ir dormir,ir dormir,Vai dormir.,C
15004,Quinn fez biscoitos para seus amigos após o jogo de futebol.,Quinn fez biscoitos para seus amigos após o jogo de futebol.,O Quinn fez bolachas para os amigos depois do jogo.,Como Quinn se sentiria como resultado?,Como senti-lo-ia Quinn?,Como se sentiria o Quinn?,Como um mau amigo,como um mau amigo,Como um mau amigo.,Como um bom padeiro,como um bom baker,Como um bom padeiro.,Como um padeiro mau,como um bad baker,Como um mau padeiro.,B
15005,Kai voltou da escola. Era hora de ir para casa e relaxar.,"Kai voltou da escola, era hora de casa e de descanso.","Kai voltou da escola, era hora de ir para casa e relaxar.",Por que Kai fez isso?,Por que o Kai fez isso?,Porque é que o Kai fez isto?,Era o hábito de Kai,Era hábito de Kai,Era o hábito do Kai.,Assista um pouco de televisão,Olhar alguma televisão,Vê televisão .,Jogar alguns jogos de vídeo,Jogar alguns vídeos,Jogar videojogos.,A
15006,"A Tracy disse à Jan para se apoderar, a Jan sabia que estava em perigo.","Tracy contou a Jan para tomar posse, Jan sabia que estava em um pouco de perigo.",A Tracy disse à Jan para se segurar.,O que Jan vai querer fazer a seguir?,O que queremos Jan?,O que vai o Jan querer fazer a seguir?,Desaparecer,. . . . . . . . . ,- Vai-te embora.,Tenha cuidado,ser cuidadoso,Cuidado .,Siga seu próprio coração,siga o seu próprio coração,Segue o seu próprio coração .,B
15007,Jan cumpriu seu propósito conversando com o líder inimigo e processando pela paz.,Jan realizou seu propósito falando com o líder inimigo e pedindo a paz.,Jan alcançou seu propósito ao falar com o líder inimigo e pedir a paz.,O que Jan precisa fazer antes disso?,O que é necessário para Jan antes disso?,O que é que a Jan precisa de fazer antes disto?,Faça amigos na viagem,fazer amigos na viagem,fazer amigos na viagem,Marque uma reunião com o líder,agendar uma reunião com o líder,Agendar uma reunião com o líder,ganhar a guerra,ganhar a guerra,Ganhar a guerra.,B
15008,Carson se divorciou de sua esposa depois de 15 anos.,O filho foi separado da esposa após quinze anos.,Carson se divorciou da esposa depois de quinze anos.,Por que Carson fez isso?,Por que o Carson fez isso?,Porque fez o Carson isto?,Quero vender livros online,quis vender livros na internet,Queria vender livros online.,Encontre outra esposa,Encontrar outra mulher,Encontre outra mulher.,Sexo físico e desejado,físico e sexo desejado,Sexo físico e sexual,B
15009,Sasha salvou os ovos da mãe para que eles pudessem ser incubados em uma fazenda.,Sasha salvou os ovos da mãe para que fossem incubados em uma fazenda.,Sasha salvou os óvulos da mãe para que pudessem ser incubados numa quinta.,O que Sasha vai querer fazer a seguir?,O que queremos com Sasha?,O que é que o Sasha vai querer fazer a seguir?,Coloque os ovos em uma incubadora,Coloque os ovos numa incubadora,Colocar os ovos numa incubadora,Jogue os ovos na parede,descarte de ovos na parede,Atira os ovos à parede.,Esmague os ovos com um martelo,mantenha os ovos com um martelo,Esmagar os ovos com um martelo,A
15010,Cameron prestou seus serviços profissionais para as famílias que precisam de um preço com desconto.,Cameron forneceu seus serviços profissionais às famílias que necessitam de um preço descontado.,Cameron ofereceu seus serviços profissionais a famílias necessitadas por um preço com desconto.,O que Cameron precisa fazer antes disso?,O que é necessário para Cameron diante disso?,O que é que a Cameron precisa de fazer antes disto?,Precisava ser rico,Necessitou ser rico,precisava de ser rico.,Precisava conhecer o seu comércio,necessitou conhecer o seu comércio,precisava de saber o seu ofício,ser caridoso,ser caritíssimo,ser caridoso,C
15011,Addison virou-se rapidamente para Alex depois que eles ouviram o grito.,Addison voltou-se rapidamente para Alex depois de ouvir o grito.,Addison virou-se rapidamente para Alex depois de terem ouvido o grito.,O que vai acontecer com Addison?,O que acontecerá com Addison?,O que vai acontecer com a Addison?,Veja por que Alex gritou,ver por que Alex gritou,Vê por que o Alex gritou,Vale a pena gritar sobre,vale dizer,vale a pena gritar sobre,Seja um bom amigo,ser um bom amigo,Seja um bom amigo.,A
