,context_1,context_2,context_3,question_1,question_2,question_3,answerA_1,answerA_2,answerA_3,answerB_1,answerB_2,answerB_3,answerC_1,answerC_2,answerC_3,correct
0,"Mesmo que ela tivesse trabalho de casa para fazer naquela noite, Jesse ajudou Skylar a estudar.","Embora tivesse realizado trabalho doméstico para essa noite, Jesse ajudou o estudo de Skylar.","Mesmo tendo de fazer o dever de casa naquela noite, Jesse ajudou a Skylar a estudar.",O que Jesse vai querer fazer a seguir?,O que Jesse quer fazer em seguida?,O que é que o Jesse vai querer fazer a seguir?,Leia lição de casa para Skylar,Leia o serviço de casa para Skylar,Leia os trabalhos de casa à Skylar.,Ajuda Skylar finish,Ajuda de acabamento Skylar,Ajudem a Skylar a terminar .,ignorá-la estudando,skip seus estudos,Não a deixes estudar.,B
1,"Depois da escola, Casey conheceu o amigo em um bar para que pudessem estudar juntos para a final.","Após a escola, Casey conheceu o amigo em um bar para que pudessem estudar para o final","Depois da escola, o Casey conheceu a amiga num bar para que pudessem estudar juntos para o exame final.",Porque é que o Casey fez isto?,Por que o Casey?,Porque fez o Casey isto?,Tenha uma boa ideia do material,têm uma boa ideia do material,ter uma boa ideia do material,goof em torno de com um amigo,náuseas,brincar com um amigo,Beba alguns drinques e vá embora,tem algumas bebidas e folhas.,Bebam um copo e vão-se embora .,A
2,Jesse foi rapidamente para sua mãe e sua mãe disse-lhes que eles eram bons.,Jesse chegou rapidamente à mãe e a mãe lhes disse que eram bons.,Jesse foi rapidamente para a mãe deles e a mãe deles disse-lhes que eles eram bons.,Como Jesse se sentiria depois?,Como Jesse se sentiria depois?,Como se sentiria o Jesse depois?,Desperdiçando o seu tempo,desperdícios,a perder o seu tempo.,que eles são uma boa criança,que são uma criança boa,Que são uma boa criança.,que sua mãe sempre os chama,que a mãe sempre os chama,que a mãe sempre os chama,B
3,"Robin sabia que Kai realmente queria que ela gostasse de sua roupa, então quando Kai perguntou sua opinião, Robin disse que ela amava.","Robin sabia que Kai realmente queria que ela fosse apertada, assim quando Kai pediu sua opinião","A Robin sabia que o Kai queria que ela gostasse da roupa dela, por isso quando o Kai perguntou a opinião dela, a Robin disse que ela adorava.",Porque é que a Robin fez isto?,Por que Robin fez isso?,Porque é que a Robin fez isto?,Pagou-lhe para dizer que ela gostou,pagou-lhe que ela gostava de,Pagou-lhe para dizer que gostava.,ela nunca gostou muito de Kai ou sua moda,nunca gostava mesmo de Kai ou de sua moda,Ela nunca gostou muito do Kai ou da moda dela .,Ela sabia que Kai queria que Robin gostasse da roupa,ela sabia que Kai queria Robin gostar do outfit,Ela sabia que o Kai queria que a Robin gostasse da roupa .,C
4,A Addison dormiu bem ontem à noite depois de jogar basebol durante várias horas.,O adison dormiu bem na noite seguinte ao jogo de bola por várias horas.,Addison dormiu bem ontem à noite depois de jogar basebol durante várias horas.,Porque é que a Addison fez isto?,Por que o Addison fez isso?,Porque é que a Addison fez isto?,Recupere sua energia,recuperar sua energia,Recupera a sua energia.,Atingir um home run,batimentos em casa,bateu um home run,Executar as bases,Executar as bases,- Não .,A
5,Quinn andou de bicicleta pela rua e parou em uma sorveteria.,Quinn rodeia a rua e parou em um sorvete.,O Quinn andou de bicicleta pela rua e parou numa geladeira.,O que Quinn vai querer fazer a seguir?,O que queremos Quinn?,O que quer o Quinn fazer a seguir?,Roubar um cone,furtar um cone,Roubar um cone.,comprar um novo animal de estimação,compra de um novo animal de companhia,comprar um novo animal de estimação,Coma um pouco de sorvete,coma um pouco de sorvete,Come um sorvete.,C
6,"Kendall foi uma pessoa agradável, então ela cozinhou café-da-manhã para a família de Riley.","kendall foi uma pessoa bonita, assim ela coziu o café da manhã para a","A Kendall era uma boa pessoa, por isso cozinhou o pequeno almoço para a família do Riley.",O que vai acontecer com Riley?,O que acontecerá com Riley?,O que vai acontecer ao Riley?,ele vai odiar kendall,ele vai odiar a trama,Ele vai odiar Kendall .,ele terá ressentido Kendall,ele vai recidivar a cronologia,Ele vai ficar chateado com Kendall .,ele vai agradecer Kendall,ele agradecerá a kendall,Ele vai agradecer ao Kendall .,C
7,Sasha decidiu candidatar-se a presidente do conselho estudantil. O diretor Addison deu seu apoio a Sasha para o cargo.,"Sasha decidiu dirigir-se para o presidente do conselho estudantil, o principal Addison deu",Sasha decidiu concorrer à presidência do conselho estudantil.,Como Sasha se sentiria como resultado?,Como se sentiria Sasha como resultado?,Como se sentiria Sasha?,Confiante em Sasha,Confidente em Sasha,Confiante em Sasha,que Sasha vai fazer bem,que Sasha vai fazer bem,Que o Sasha vai correr bem.,confiante,Confidente,confiante,C
8,"Alex teve uma festa em sua casa enquanto seus pais estavam fora da cidade, mesmo que eles lhe dissessem para não fazê-lo.","Alex tinha uma festa em sua casa enquanto seus pais estavam fora da cidade, embora lhe tenham dito","Alex fez uma festa em sua casa enquanto seus pais estavam fora da cidade, mesmo que eles lhe dissessem para não fazer.",O que vai acontecer com os pais de Alex?,O que acontecerá com os pais de Alex?,O que vai acontecer aos pais do Alex?,Punir Alex por ter uma festa,punir Alex por ter partido,Punir o Alex por ter feito uma festa.,mete-te em sarilhos,án,- Não .,tem que limpar a bagunça,tem que limpar a mecha,Tenho de limpar a confusão.,A
9,Aubrey foi casada por 20 anos quando se divorciou.,Aubrey era casada há 20 anos quando se separou.,A Aubrey estava casada há 20 anos quando se divorciou.,Como Aubrey se sentiria depois?,Como se sentiria Aubrey depois?,Como é que o Aubrey se sentiria depois?,produtivo,Produto,produtivos,energizado,energizados,energizado,deprimido,depressão,Deprimido,C
